wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
69.803991,-1,0,0,0,0,149.230087,2.638100,1.681400,16.736200,1,877,877,0,0,detail
69.820615,-1,0,0,0,0,16.667002,123.599602,4.109500,148.289505,1,877,877,0,0,detail
69.837602,-1,0,0,0,0,16.666800,2.692700,3.090600,15.861700,1,877,877,0,0,detail
69.853861,-1,0,0,0,0,16.666698,5.875400,2.831200,17.089600,1,877,877,0,0,detail
69.870534,-1,0,0,0,0,16.666901,1.955200,3.472100,16.248800,1,877,877,0,0,detail
69.887218,-1,0,0,0,0,16.666901,2.218900,4.055700,16.584700,1,877,877,0,0,detail
69.903969,-1,0,0,0,0,16.666698,1.930500,3.522500,16.757799,1,877,877,0,0,detail
69.920584,-1,0,0,0,0,16.666901,2.230800,3.628000,16.900000,1,877,877,0,0,detail
69.937170,-1,0,0,0,0,16.666800,2.358900,3.940100,16.491501,1,877,877,0,0,detail
69.953843,-1,0,0,0,0,16.666702,2.231800,3.487400,16.587799,1,877,877,0,0,detail
69.970596,-1,0,0,0,0,16.666897,1.854000,3.042100,16.545799,1,877,877,0,0,detail
69.987206,-1,0,0,0,0,16.666702,1.977400,3.775200,16.974800,1,877,877,0,0,detail
70.003847,-1,0,0,0,0,16.666698,2.075200,3.857100,16.719900,1,877,877,0,0,detail
70.020508,-1,0,0,0,0,16.667002,2.091700,3.504100,16.563200,1,877,877,0,0,detail
70.037480,-1,0,0,0,0,16.686001,2.102200,3.076800,16.517099,1,877,877,0,0,detail
70.054097,-1,0,0,0,0,16.666897,2.500800,3.489000,17.342501,1,877,877,0,0,detail
70.070617,-1,0,0,0,0,16.666803,2.555600,3.641300,16.394100,1,877,877,0,0,detail
70.087306,-1,0,0,0,0,16.666998,5.470800,4.672000,19.372000,1,877,877,0,0,detail
70.104004,-1,0,0,0,0,16.666901,2.794500,3.651100,13.756400,1,877,877,0,0,detail
70.120616,-1,0,0,0,0,16.666901,2.357500,3.522600,16.762899,1,877,877,0,0,detail
70.137233,-1,0,0,0,0,16.666901,2.193100,3.816900,16.459801,1,877,877,0,0,detail
70.153939,-1,0,0,0,0,16.666800,2.434100,4.245400,16.668699,1,877,877,0,0,detail
70.170673,-1,0,0,0,0,16.666698,2.131300,3.397400,16.762899,1,877,877,0,0,detail
70.187249,-1,0,0,0,0,16.666800,2.351000,3.473800,16.883699,1,877,877,0,0,detail
70.203851,-1,0,0,0,0,16.666901,2.445800,4.306600,16.421900,1,877,877,0,0,detail
70.220546,-1,0,0,0,0,16.666698,2.540700,3.193900,16.487400,1,877,877,0,0,detail
70.237216,-1,0,0,0,0,16.666702,2.187600,3.140000,16.705500,1,877,877,0,0,detail
70.357571,-1,0,0,0,0,120.211494,1.934200,1.458700,16.705500,1,877,877,0,0,detail
70.374096,-1,0,0,0,0,16.666803,97.795303,4.173200,119.539703,1,877,877,0,0,detail
70.390750,-1,0,0,0,0,16.666800,2.747000,4.344100,16.112499,1,877,877,0,0,detail
70.407674,-1,0,0,0,0,16.666698,2.008800,3.543100,16.301100,1,877,877,0,0,detail
70.424073,-1,0,0,0,0,16.666901,8.527700,3.681500,7.859200,1,877,877,0,0,detail
70.440786,-1,0,0,0,0,16.666901,1.952100,3.975800,16.345600,1,877,877,0,0,detail
70.457491,-1,0,0,0,0,16.666901,2.347000,3.174000,16.815100,1,877,877,0,0,detail
70.474149,-1,0,0,0,0,16.666800,1.973900,2.933700,16.617500,1,877,877,0,0,detail
70.490781,-1,0,0,0,0,16.666800,1.998000,2.846100,16.806900,1,877,877,0,0,detail
70.507466,-1,0,0,0,0,16.666998,2.017200,3.539400,16.488501,1,877,877,0,0,detail
70.524080,-1,0,0,0,0,16.666702,2.458200,4.096100,16.755699,1,877,877,0,0,detail
70.540793,-1,0,0,0,0,16.666698,1.946300,3.079400,16.534500,1,877,877,0,0,detail
70.557396,-1,0,0,0,0,16.666901,2.107100,2.842400,16.960501,1,877,877,0,0,detail
70.574084,-1,0,0,0,0,16.666698,1.993200,3.426800,16.368700,1,877,877,0,0,detail
70.590778,-1,0,0,0,0,16.667101,1.921100,3.479200,16.678900,1,877,877,0,0,detail
70.607586,-1,0,0,0,0,16.666897,1.970300,2.707600,16.665600,1,877,877,0,0,detail
70.624096,-1,0,0,0,0,16.666800,2.110100,2.915100,16.954300,1,877,877,0,0,detail
70.640731,-1,0,0,0,0,16.666702,1.949500,3.135100,16.397301,1,877,877,0,0,detail
70.657394,-1,0,0,0,0,16.666800,2.251200,3.345400,16.559099,1,877,877,0,0,detail
70.674157,-1,0,0,0,0,16.666698,1.759200,3.127300,16.716801,1,877,877,0,0,detail
70.690861,-1,0,0,0,0,16.668402,1.882800,2.854800,16.789499,1,877,877,0,0,detail
