wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
111.846318,0,15,6,0,0,18.940102,3.822000,17.841801,20.464600,1
111.880932,0,15,6,0,0,34.656101,2.947400,34.585800,34.006001,1
111.911321,0,15,6,0,0,30.339300,3.141700,30.188299,32.679001,1
111.944398,0,15,6,0,0,33.022400,4.035500,32.904800,32.463799,1
111.975757,0,15,6,0,0,31.454199,3.179100,30.521200,31.809601,1
112.009448,0,15,6,0,0,33.691803,2.689200,33.133801,32.734200,1
112.040763,0,15,6,0,0,31.285700,3.038100,31.255501,31.567801,1
112.069823,0,15,6,0,0,29.110800,2.857600,28.648199,30.022699,1
112.101145,0,15,6,0,0,31.202499,6.027800,31.110701,30.604300,1
112.131817,0,15,6,0,0,30.723299,3.023200,30.228500,31.138800,1
112.165188,0,15,6,0,0,33.314102,2.597400,31.931101,30.828501,1
112.197375,0,15,6,0,0,32.370300,3.615300,32.374001,30.830601,1
112.227749,0,15,6,0,0,30.218102,2.608500,30.087999,31.069201,1
112.258348,0,15,6,0,0,30.701696,2.798300,30.561701,32.262199,1
112.288412,0,15,6,0,0,29.875799,2.721700,28.357201,29.651899,1
112.321357,0,15,6,0,0,33.080303,3.492900,32.542400,33.298500,1
112.353357,0,15,6,0,0,31.921499,3.248200,30.501600,31.538099,1
112.383961,0,15,6,0,0,30.490801,3.421600,30.434299,29.825100,1
112.412135,0,15,6,0,0,28.383200,3.134100,28.137699,31.074301,1
112.443592,0,15,6,0,0,31.513601,3.818000,31.110701,30.691299,1
112.472857,0,15,6,0,0,29.177099,3.282000,29.125401,29.319201,1
112.502698,0,15,6,0,0,29.892300,3.325400,29.841101,30.211000,1
112.532013,0,15,6,0,0,29.378000,2.689700,29.382299,30.346300,1
112.565304,0,15,6,0,0,33.255302,2.612400,33.048000,32.478199,1
112.596558,0,15,6,0,0,31.115896,2.778300,31.027000,30.337999,1
112.624866,0,15,6,0,0,28.226900,6.069100,28.167900,30.037001,1
112.658248,0,15,6,0,0,33.589703,3.791400,33.155701,33.207298,1
112.688668,0,15,6,0,0,29.958099,3.215700,29.865499,29.399099,1
112.718885,0,15,6,0,0,30.549898,3.321300,30.104401,30.520300,1
112.748980,0,15,6,0,0,30.139900,3.203500,29.960600,30.556101,1
112.779199,0,15,6,0,0,30.042700,3.249800,29.598900,30.176300,1
112.810587,0,15,6,0,0,31.616301,3.546600,31.266600,31.679501,1
112.840946,0,15,6,0,0,30.152599,3.696200,29.450100,29.871099,1
112.872101,0,15,6,0,0,31.320799,3.075000,31.325199,30.444500,1
112.902020,0,15,6,0,0,29.991899,2.657800,29.991800,30.127100,1
112.931365,0,15,6,0,0,29.348303,2.575200,29.332500,30.009399,1
112.961552,0,15,6,0,0,30.086100,2.623200,30.009899,29.213699,1
112.993534,0,15,6,0,0,32.061497,2.898400,32.056599,32.177101,1
113.025876,0,15,6,0,0,32.315197,2.964200,32.241798,31.784000,1
113.056622,0,15,6,0,0,30.747202,2.809600,30.300301,29.945801,1
113.086412,0,15,6,0,0,29.743702,2.900400,29.549299,31.280100,1
113.117929,0,15,6,0,0,30.997499,2.855700,30.200500,29.274200,1
113.146024,0,15,6,0,0,28.541901,6.622500,28.561199,30.325701,1
113.177066,0,15,6,0,0,31.119898,3.077400,31.042999,29.514799,1
113.208008,0,15,6,0,0,30.619801,4.159200,30.302700,30.105600,1
113.237552,0,15,6,0,0,29.866100,3.681600,29.756901,29.673401,1
113.266639,0,15,6,0,0,29.135599,3.177000,27.855200,28.969999,1
113.298637,0,15,6,0,0,32.020103,2.954000,31.891600,31.586300,1
113.329134,0,15,6,0,0,30.509699,4.238300,29.954399,31.611900,1
113.358498,0,15,6,0,0,29.387899,4.114400,29.372700,29.680700,1
113.390256,0,15,6,0,0,31.716000,3.025900,31.635900,32.068600,1
113.421115,0,15,6,0,0,30.752800,2.856200,30.732901,29.635599,1
113.450638,0,15,6,0,0,29.593199,3.430100,29.514200,30.452700,1
113.481862,0,15,6,0,0,30.785702,3.229900,29.327999,31.431700,1
113.511472,0,15,6,0,0,30.144497,3.968600,30.360800,30.877701,1
113.543924,0,15,6,0,0,32.248501,3.247200,30.805401,29.969400,1
113.575827,0,15,6,0,0,30.863501,3.511500,29.549000,31.450100,1
113.603753,0,15,6,0,0,29.066198,4.898500,28.155199,29.546499,1
113.635759,0,15,6,0,0,32.041103,3.418000,31.726200,31.691799,1
113.667043,0,15,6,0,0,31.302198,6.777200,31.046200,31.568899,1
113.697159,0,15,6,0,0,30.093100,3.549500,29.789000,30.863300,1
113.727397,0,15,6,0,0,30.232702,2.910800,30.236601,29.469700,1
113.757773,0,15,6,0,0,30.414499,3.354600,30.057100,31.274000,1
113.777210,0,15,6,0,0,19.359198,2.991900,19.309799,16.996401,1
113.787666,0,15,6,0,0,10.444303,3.011700,10.358100,11.238400,1
113.798978,0,15,6,0,0,11.367001,3.112600,11.392200,12.890100,1
113.813123,0,15,6,0,0,14.207400,2.631100,14.159000,12.194800,1
113.827582,0,15,6,0,0,13.660699,3.151000,13.613600,13.246500,1
113.850332,0,16,6,0,0,20.908899,4.645000,31.501600,32.789501,1
113.889730,0,16,6,0,0,42.054897,41.855999,31.501600,32.789501,1
113.910561,0,16,6,0,0,20.694698,3.345900,22.659700,31.395800,1
113.940516,0,16,6,0,0,29.935102,3.745000,29.510201,30.321699,1
113.971138,0,16,6,0,0,30.681599,2.928500,30.649500,30.662600,1
114.001197,0,16,6,0,0,30.079498,2.900900,29.655800,31.381500,1
