C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
02:01.016  render           | Video append frame 8
02:01.047  render           | Video append frame 9
02:01.063  render           | Video append frame 10
02:01.078  render           | Video append frame 11
02:01.110  render           | Video append frame 12
02:01.125  render           | Video append frame 13
02:01.141  render           | Video append frame 14
02:01.172  render           | Video append frame 15
02:01.188  render           | Video append frame 16
02:01.203  render           | Video append frame 17
02:01.235  render           | Video append frame 18
02:01.250  render           | Video append frame 19
02:01.266  render           | Video append frame 20
02:01.297  render           | Video append frame 21
02:01.313  render           | Video append frame 22
02:01.328  render           | Video append frame 23
02:01.360  render           | Video append frame 24
02:01.375  render           | Video append frame 25
02:01.407  render           | Video append frame 26
02:01.422  render           | Video append frame 27
02:01.438  render           | Video append frame 28
02:01.469  render           | Video append frame 29
02:01.485  render           | Video append frame 30
02:01.500  render           | Video append frame 31
02:01.532  render           | Video append frame 32
02:01.547  render           | Video append frame 33
02:01.563  render           | Video append frame 34
02:01.594  render           | Video append frame 35
02:01.610  render           | Video append frame 36
02:01.641  render           | Video append frame 37
02:01.657  render           | Video append frame 38
02:01.672  render           | Video append frame 39
02:01.703  render           | Video append frame 40
02:01.735  render           | Video append frame 1
02:01.750  render           | Video append frame 2
02:01.782  render           | Video append frame 3
02:01.797  render           | Video append frame 4
02:01.813  render           | Video append frame 5
02:01.828  render           | Video append frame 6
02:01.860  render           | Video append frame 7
02:01.875  render           | Video append frame 8
02:01.891  render           | Video append frame 9
02:01.922  render           | Video append frame 10
02:01.938  render           | Video append frame 11
02:01.969  render           | Video append frame 12
02:01.985  render           | Video append frame 13
02:02.000  render           | Video append frame 14
02:02.032  render           | Video append frame 15
02:02.047  render           | Video append frame 16
02:02.063  render           | Video append frame 17
02:02.094  render           | Video append frame 18
02:02.110  render           | Video append frame 19
02:02.141  render           | Video append frame 20
02:02.157  render           | Video append frame 21
02:02.172  render           | Video append frame 22
02:02.203  render           | Video append frame 23
02:02.219  render           | Video append frame 24
02:02.235  render           | Video append frame 25
02:02.266  render           | Video append frame 26
02:02.282  render           | Video append frame 27
02:02.297  render           | Video append frame 28
02:02.313  render           | Video append frame 29
02:02.344  render           | Video append frame 30
02:02.360  render           | Video append frame 31
02:02.391  render           | Video append frame 32
02:02.407  render           | Video append frame 33
02:02.438  render           | Video append frame 34
02:02.453  render           | Video append frame 35
02:02.469  render           | Video append frame 36
02:02.500  render           | Video append frame 37
02:02.516  render           | Video append frame 38
02:02.532  render           | Video append frame 39
02:02.563  render           | Video append frame 40
02:02.610  render           | Video append frame 1
02:02.625  render           | Video append frame 2
02:02.641  render           | Video append frame 3
02:02.672  render           | Video append frame 4
02:02.688  render           | Video append frame 5
02:02.703  render           | Video append frame 6
02:02.735  render           | Video append frame 7
02:02.750  render           | Video append frame 8
02:02.766  render           | Video append frame 9
