seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
718,44,1912150,184200,1512950,215000,0,195,22,24,24,0
719,45,1941100,158750,1562350,220000,1,191,31,24,25,0
720,45,1993200,168750,1604450,220000,1,188,27,24,25,0
721,45,1983900,177250,1586650,220000,1,193,30,24,27,0
722,42,1868000,189100,1473900,205000,0,188,29,24,26,0
723,41,1753050,183050,1370000,200000,0,187,19,24,26,0
724,43,1892200,178650,1503550,210000,0,186,21,24,24,0
725,43,1868950,180150,1478800,210000,0,194,25,23,23,0
726,42,1853650,165600,1483050,205000,0,184,30,24,27,0
727,43,1897150,184650,1502500,210000,0,194,31,24,25,0
728,42,1772850,180100,1387750,205000,0,187,13,24,26,0
729,41,1788050,176050,1412000,200000,0,187,24,24,25,0
730,43,1927200,193650,1523550,210000,0,188,36,23,23,0
731,43,1904550,178150,1516400,210000,0,185,30,24,27,0
732,42,1800600,183100,1412500,205000,0,184,18,24,25,0
733,44,1899500,174200,1510300,215000,0,192,28,23,23,0
734,45,1953800,194750,1539050,220000,1,187,24,24,26,0
735,45,1971600,172750,1578850,220000,1,195,29,24,25,0
736,43,1865300,167150,1488150,210000,0,193,30,23,23,0
737,43,1928050,170150,1547900,210000,0,183,33,23,24,0
738,43,1827250,185150,1432100,210000,0,189,21,23,23,0
739,45,1980200,175750,1584450,220000,1,182,27,24,25,0
740,42,1807700,154100,1448600,205000,0,183,21,23,23,0
741,43,1911150,168650,1532500,210000,0,187,31,24,24,0
742,42,1827300,179600,1442700,205000,0,187,25,23,27,0
743,42,1846900,178600,1463300,205000,0,183,24,24,25,0
744,42,1871900,179100,1487800,205000,0,187,34,23,24,0
745,43,1876050,180150,1485900,210000,0,189,25,24,24,0
746,43,1867250,185150,1472100,210000,0,183,24,24,24,0
747,42,1835250,182100,1448150,205000,0,186,29,23,24,0
748,45,2009100,185250,1603850,220000,1,188,29,24,25,0
749,44,1921000,181700,1524300,215000,0,186,27,24,25,0
750,43,1819800,175650,1434150,210000,0,184,23,24,26,0
