fight,side,unit_id,instance,focus,alive,health,max_health,alive_ms,moving_ms,stunned_ms,shield_present_ms,positive_rate_modifier_ms,negative_rate_modifier_ms,basic_actions,active_actions,damage_basic_hp100,damage_skill_hp100,healing_hp100,shield_granted_hp100,shield_absorbed_hp100,overkill_hp100,applied_stun_packet_ms,dash_events,rate_modifier_events,received_healing_hp100,received_damage_hp100
32,0,wc_u_dragonkin_guardian,67108865,0,0,0,212400,7050,0,2250,1200,0,0,3,1,17094,0,0,43200,43200,0,0,0,0,0,212400
32,0,wc_u_elf_rogue,67108866,0,0,0,142200,12000,800,1000,0,0,0,11,2,123813,0,0,0,0,8397,0,2,0,0,142200
32,0,wc_u_elf_ranger,67108867,0,1,60709,120600,23100,1800,0,0,0,0,18,1,175315,0,0,0,0,10023,0,1,0,0,59891
32,0,wc_u_dwarf_ranger,67108868,0,1,32398,136800,23100,1100,1250,0,0,0,14,3,160234,67463,0,0,0,0,0,0,0,0,104402
32,0,wc_u_halfling_ranger,67108869,0,1,64472,106200,23100,800,0,0,0,0,19,2,153887,0,0,0,0,8090,0,0,2,0,41728
32,0,wc_u_dragonkin_ranger,67108870,0,1,129600,129600,23100,1000,0,0,0,0,17,2,174306,18348,0,0,0,38776,0,0,0,0,0
32,1,wc_u_human_guardian,68157441,0,0,0,207900,5950,0,0,900,0,2450,4,1,19938,0,0,36000,36000,0,0,0,0,0,207900
32,1,wc_u_dwarf_guardian,68157442,0,0,0,198000,12000,0,0,0,0,0,7,1,38412,0,0,0,0,0,2000,0,0,0,198000
32,1,wc_u_human_mage,68157443,0,0,0,122760,16000,2000,0,0,0,0,8,2,46596,60433,0,0,0,3162,0,0,0,0,122760
32,1,wc_u_orc_mage,68157444,0,0,0,135000,19350,3000,0,0,0,0,10,2,71507,162825,0,0,0,0,0,0,0,0,135000
32,1,wc_u_elf_mage,68157445,1,0,0,124200,23100,1000,0,0,0,2600,15,2,104167,17173,0,0,0,3614,2500,0,0,0,124200
32,1,wc_u_halfling_mage,68157446,0,0,0,102600,10200,0,0,0,0,0,7,1,39570,0,0,0,0,0,0,0,0,0,102600
33,0,wc_u_human_guardian,69206017,0,0,0,115500,18600,4350,3350,4850,0,6000,7,2,23878,0,0,40000,34882,0,0,0,0,0,115500
33,0,wc_u_dwarf_guardian,69206018,0,1,87548,110000,23200,2300,1900,0,0,0,12,2,41185,0,0,0,0,1968,5000,0,0,0,22452
33,0,wc_u_human_mage,69206019,0,1,33940,68200,23200,3000,0,0,0,0,11,3,42233,82947,0,0,0,10235,0,0,0,0,34260
33,0,wc_u_orc_mage,69206020,0,1,75000,75000,23200,2000,0,0,0,2600,11,2,47301,138493,0,0,0,0,0,0,0,0,0
33,0,wc_u_elf_mage,69206021,1,1,33456,69000,23200,1000,0,0,0,0,15,2,57052,15136,0,0,0,4702,2500,0,0,0,35544
33,0,wc_u_halfling_mage,69206022,0,0,0,57000,8650,0,0,0,0,0,7,1,24968,21807,0,0,0,1054,0,0,0,0,57000
33,1,wc_u_dwarf_guardian,70254593,0,0,0,110000,5100,0,400,850,0,0,3,1,5866,0,0,0,0,0,2000,0,0,0,110000
33,1,wc_u_orc_guardian,70254594,0,0,0,112000,10650,0,1000,850,0,0,6,1,15000,0,0,28000,28000,0,0,0,0,0,112000
33,1,wc_u_halfling_rogue,70254595,0,0,0,66000,6150,0,1000,0,0,0,6,1,22452,0,0,0,0,0,1000,0,0,0,66000
33,1,wc_u_elf_rogue,70254596,0,0,0,79000,15400,800,550,0,0,0,17,2,109897,0,0,0,0,4668,0,2,0,0,79000
33,1,wc_u_elf_mage,70254597,0,0,0,69000,20900,0,1000,0,0,0,14,2,45432,5217,0,0,0,0,2500,0,0,0,69000
33,1,wc_u_halfling_ranger,70254598,0,0,0,59000,23150,0,1000,0,0,0,21,3,60892,0,0,0,0,1585,0,0,3,0,59000
34,0,wc_u_dwarf_guardian,71303169,0,0,0,110000,5100,0,400,850,0,0,3,1,5866,0,0,0,0,0,2000,0,0,0,110000
34,0,wc_u_orc_guardian,71303170,0,0,0,112000,13350,0,1000,850,0,0,8,1,18000,0,0,28000,28000,0,0,0,0,0,112000
34,0,wc_u_halfling_rogue,71303171,0,0,0,66000,14850,0,1000,0,0,0,17,2,63614,0,0,0,0,0,2000,0,0,0,66000
34,0,wc_u_elf_rogue,71303172,0,0,0,79000,10650,800,1000,0,0,0,11,1,68785,0,0,0,0,4668,0,1,0,0,79000
34,0,wc_u_elf_mage,71303173,0,0,0,69000,21650,0,0,0,0,0,16,2,52816,5217,0,0,0,0,2500,0,0,0,69000
34,0,wc_u_halfling_ranger,71303174,0,0,0,59000,25200,0,550,0,0,0,23,3,66966,0,0,0,0,2467,0,0,3,0,59000
34,1,wc_u_human_guardian,72351745,0,0,0,115500,17700,2250,3350,4450,0,6000,7,2,22744,0,0,40000,40000,0,0,0,0,0,115500
34,1,wc_u_dwarf_guardian,72351746,0,1,46386,110000,25200,4600,2900,0,0,0,11,2,38884,0,0,0,0,0,5000,0,0,0,63614
34,1,wc_u_human_mage,72351747,0,1,68200,68200,25200,2000,0,0,0,0,14,3,53682,66076,0,0,0,22919,0,0,0,0,0
34,1,wc_u_orc_mage,72351748,0,1,75000,75000,25200,4000,0,0,0,3000,11,1,47976,138493,0,0,0,0,0,0,0,0,0
34,1,wc_u_elf_mage,72351749,1,1,23850,69000,25200,1000,0,0,0,0,15,3,56919,21897,0,0,0,5688,2500,0,0,0,45150
34,1,wc_u_halfling_mage,72351750,0,0,0,57000,9400,0,0,0,0,0,7,1,26522,21807,0,0,0,0,0,0,0,0,57000
35,0,wc_u_human_guardian,73400321,0,0,0,115500,15650,0,3650,4450,0,6000,7,2,22744,0,0,40000,40000,0,0,0,0,0,115500
35,0,wc_u_dwarf_guardian,73400322,0,1,14068,110000,28850,4250,4150,0,0,0,13,3,43377,0,0,0,0,0,4000,0,0,0,95932
35,0,wc_u_human_mage,73400323,0,1,13384,68200,28850,4000,0,0,0,0,15,3,58209,74773,0,0,0,481,0,0,0,0,54816
35,0,wc_u_orc_mage,73400324,0,1,75000,75000,28850,2000,0,0,0,3000,16,3,66767,97023,0,0,0,2074,0,0,0,0,0
35,0,wc_u_elf_mage,73400325,1,1,55296,69000,28850,1000,0,0,0,0,19,3,77636,12664,0,0,0,11078,1250,0,0,0,13704
35,0,wc_u_halfling_mage,73400326,0,0,0,57000,8650,0,0,0,0,0,6,1,21750,20057,0,0,0,0,0,0,0,0,57000
35,1,wc_u_dwarf_guardian,74448897,0,0,0,110000,17950,0,2000,850,0,0,10,2,23370,0,0,0,0,0,4000,0,0,0,110000
35,1,wc_u_orc_guardian,74448898,0,0,0,112000,9300,0,1000,1500,0,0,6,1,15000,0,0,28000,28000,0,0,0,0,0,112000
35,1,wc_u_halfling_rogue,74448899,0,0,0,66000,4700,0,0,0,0,0,5,1,18710,0,0,0,0,0,1000,0,0,0,66000
35,1,wc_u_elf_rogue,74448900,0,0,0,79000,18100,800,1250,0,0,0,20,2,130453,0,0,0,0,4668,0,2,0,0,79000
35,1,wc_u_elf_mage,74448901,0,0,0,69000,28850,0,0,0,0,0,22,3,81116,10672,0,0,0,90,3750,0,0,0,69000
35,1,wc_u_halfling_ranger,74448902,0,0,0,59000,24650,0,1000,0,0,0,22,3,57631,0,0,0,0,0,0,0,3,0,59000
36,0,wc_u_dwarf_guardian,75497473,0,0,0,110000,7950,0,1000,850,0,0,5,1,14195,0,0,0,0,0,2000,0,0,0,110000
36,0,wc_u_orc_guardian,75497474,0,0,0,112000,18400,0,1000,3250,0,0,11,2,25686,0,0,42000,42000,1614,0,0,0,0,112000
