00:28.156  render           | Video append frame 43
00:28.171  render           | Video append frame 44
00:28.187  render           | Video append frame 45
00:28.218  render           | Video append frame 46
00:28.234  render           | Video append frame 47
00:28.250  render           | Video append frame 48
00:28.265  render           | Video append frame 49
00:28.281  render           | Video append frame 50
00:28.312  render           | Video append frame 51
00:28.328  render           | Video append frame 52
00:28.359  render           | Video append frame 53
00:28.375  render           | Video append frame 54
00:28.390  render           | Video append frame 55
00:28.406  render           | Video append frame 56
00:28.437  render           | Video append frame 57
00:28.453  render           | Video append frame 58
00:28.468  render           | Video append frame 59
00:28.500  render           | Video append frame 60
00:28.515  render           | Video append frame 61

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\SK_wc_n_sprout.fbx'
(bpy.data.armatures['WC_NeutralMechanical_v1.001'], 'POSE')
export finished in 0.0370 sec.
Info: Applied modifier was not first, result may not be as expected

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\SK_wc_n_sprout_LOD1.fbx'
(bpy.data.armatures['WC_NeutralMechanical_v1.001'], 'POSE')
export finished in 0.0270 sec.
Info: Applied modifier was not first, result may not be as expected

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\SK_wc_n_sprout_LOD2.fbx'
(bpy.data.armatures['WC_NeutralMechanical_v1.001'], 'POSE')
export finished in 0.0372 sec.

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\AN_wc_n_sprout_Idle.fbx'
export finished in 0.0924 sec.

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\AN_wc_n_sprout_Move.fbx'
export finished in 0.0601 sec.

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\AN_wc_n_sprout_Attack.fbx'
export finished in 0.0449 sec.

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\AN_wc_n_sprout_Hit.fbx'
export finished in 0.0352 sec.

FBX export starting... 'C:\\Users\\iputu\\Documents\\Wonder Chess\\exports\\neutrals\\wc_n_sprout\\AN_wc_n_sprout_Defeat.fbx'
export finished in 0.0641 sec.
Info: Saved as "wc_n_sprout.blend"
{
  "status": "structural_checks_passed_visual_review_required",
  "blender_version": "5.1.1",
  "collection": "EXPORT",
  "evaluated_triangle_total": 1056,
  "objects": [
    {
      "name": "Armature",
      "type": "ARMATURE",
      "scale": [
        1.0,
        1.0,
        1.0
      ],
      "dimensions": [
        0.46000000834465027,
        0.3799999952316284,
        1.1700000762939453
      ],
      "roots": [
        "root"
      ],
      "deform_bones": 9
    },
    {
      "name": "SK_wc_n_sprout",
      "type": "MESH",
      "scale": [
        1.0,
        1.0,
