tick,unit,action,ordinal,state,release_tick,window
341,1048581,118,11,3,347,0
345,1,119,18,3,350,1
345,1048580,120,18,3,350,1
350,2,121,12,3,356,1
354,7,123,14,3,360,1
354,1048584,122,14,3,360,1
363,1,124,19,3,368,0
363,1048580,125,19,3,368,0
364,3,126,12,3,369,1
366,1048582,127,10,3,371,1
370,1048581,128,12,3,376,1
379,2,129,13,3,385,0
379,7,131,15,3,385,0
379,1048584,130,15,3,385,0
381,1,132,20,3,386,1
381,1048580,133,20,3,386,1
393,3,134,13,3,398,0
395,1048582,135,11,3,400,0
399,1048581,138,13,3,405,0
404,7,140,16,3,410,1
404,1048584,139,16,3,410,1
406,1,141,21,3,411,0
406,1048580,142,21,3,411,0
423,2,145,14,3,429,1
424,1,146,22,3,429,1
424,1048580,147,22,3,429,1
429,7,151,17,3,435,0
429,1048584,150,17,3,435,0
434,3,152,14,3,439,1
442,1,153,23,3,447,0
442,1048580,154,23,3,447,0
443,1048581,155,14,3,449,1
452,2,156,15,3,458,0
454,7,158,18,3,460,1
454,1048584,157,18,3,460,1
460,1,159,24,3,465,1
460,1048580,160,24,3,465,1
463,3,161,15,3,468,0
472,1048581,162,15,3,478,0
476,1048582,163,12,3,481,1
478,1,164,25,3,483,0
478,1048580,165,25,3,483,0
479,7,167,19,3,485,0
479,1048584,166,19,3,485,0
481,2,168,16,3,487,1
492,3,169,16,3,497,1
496,1,170,26,3,501,1
496,1048580,171,26,3,501,1
501,1048581,172,16,3,507,1
505,1048582,175,13,3,510,0
510,2,176,17,3,516,0
514,1,177,27,3,519,0
514,1048580,178,27,3,519,0
518,7,180,20,3,524,1
518,1048584,179,20,3,524,1
521,3,181,17,3,526,0
530,1048581,182,17,3,536,0
534,1048582,183,14,3,539,1
539,2,184,18,3,545,1
541,1,185,28,3,546,1
541,1048580,186,28,3,546,1
543,7,188,21,3,549,0
543,1048584,187,21,3,549,0
550,3,189,18,3,555,1
559,1,190,29,3,564,0
559,1048580,191,29,3,564,0
559,1048581,192,18,3,565,1
563,1048582,193,15,3,568,0
568,7,196,22,3,574,1
568,1048584,195,22,3,574,1
579,3,199,19,3,584,0
583,2,200,19,3,589,0
593,7,204,23,3,599,0
593,1048584,203,23,3,599,0
603,1048581,205,19,3,609,0
612,2,207,20,3,618,1
618,7,209,24,3,624,1
618,1048584,208,24,3,624,1
620,3,210,20,3,625,1
632,1048581,211,20,3,638,1
641,2,212,21,3,647,0
643,7,214,25,3,649,0
643,1048584,213,25,3,649,0
649,3,215,21,3,654,0
661,1048581,216,21,3,667,0
668,7,218,26,3,674,1
668,1048584,217,26,3,674,1
670,2,219,22,3,676,1
680,1,220,30,3,685,1
680,1048580,221,30,3,685,1
