formation_a,formation_b,star,investment_per_side,seed,swapped,winner,ticks,timeout,survivors_a,survivors_b,events,observed_replay_exact
shield_heavy,spread_ranged,3,90,8,1,0,506,0,5,0,201,1
shield_heavy,paired_mage,1,10,1,0,1,750,0,0,4,272,1
shield_heavy,paired_mage,1,10,1,1,0,685,0,2,0,233,1
shield_heavy,paired_mage,1,10,2,0,-1,734,0,0,0,250,1
shield_heavy,paired_mage,1,10,2,1,0,686,0,2,0,241,1
shield_heavy,paired_mage,1,10,3,0,1,590,0,0,4,230,1
shield_heavy,paired_mage,1,10,3,1,1,800,1,1,4,281,1
shield_heavy,paired_mage,1,10,4,0,1,800,1,1,2,244,1
shield_heavy,paired_mage,1,10,4,1,1,726,0,0,3,239,1
shield_heavy,paired_mage,1,10,5,0,1,464,0,0,4,199,1
shield_heavy,paired_mage,1,10,5,1,1,770,0,0,3,247,1
shield_heavy,paired_mage,1,10,6,0,1,797,0,0,3,269,1
shield_heavy,paired_mage,1,10,6,1,0,545,0,4,0,223,1
shield_heavy,paired_mage,1,10,7,0,1,570,0,0,4,219,1
shield_heavy,paired_mage,1,10,7,1,0,514,0,3,0,207,1
shield_heavy,paired_mage,1,10,8,0,0,669,0,3,0,264,1
shield_heavy,paired_mage,1,10,8,1,0,548,0,4,0,227,1
shield_heavy,paired_mage,2,30,1,0,1,750,0,0,4,272,1
shield_heavy,paired_mage,2,30,1,1,0,685,0,2,0,233,1
shield_heavy,paired_mage,2,30,2,0,-1,734,0,0,0,250,1
shield_heavy,paired_mage,2,30,2,1,0,686,0,2,0,241,1
shield_heavy,paired_mage,2,30,3,0,1,590,0,0,4,230,1
shield_heavy,paired_mage,2,30,3,1,1,800,1,1,4,281,1
shield_heavy,paired_mage,2,30,4,0,1,800,1,1,2,244,1
shield_heavy,paired_mage,2,30,4,1,1,726,0,0,3,239,1
shield_heavy,paired_mage,2,30,5,0,1,464,0,0,4,199,1
shield_heavy,paired_mage,2,30,5,1,1,770,0,0,3,247,1
shield_heavy,paired_mage,2,30,6,0,1,797,0,0,3,269,1
shield_heavy,paired_mage,2,30,6,1,0,545,0,4,0,223,1
shield_heavy,paired_mage,2,30,7,0,1,570,0,0,4,219,1
shield_heavy,paired_mage,2,30,7,1,0,514,0,3,0,207,1
shield_heavy,paired_mage,2,30,8,0,0,669,0,3,0,264,1
shield_heavy,paired_mage,2,30,8,1,0,548,0,4,0,227,1
shield_heavy,paired_mage,3,90,1,0,1,750,0,0,4,272,1
shield_heavy,paired_mage,3,90,1,1,0,685,0,2,0,233,1
shield_heavy,paired_mage,3,90,2,0,-1,734,0,0,0,250,1
shield_heavy,paired_mage,3,90,2,1,0,686,0,2,0,241,1
shield_heavy,paired_mage,3,90,3,0,1,590,0,0,4,230,1
shield_heavy,paired_mage,3,90,3,1,1,800,1,1,4,281,1
shield_heavy,paired_mage,3,90,4,0,1,800,1,1,2,244,1
shield_heavy,paired_mage,3,90,4,1,1,726,0,0,3,239,1
shield_heavy,paired_mage,3,90,5,0,1,464,0,0,4,199,1
shield_heavy,paired_mage,3,90,5,1,1,770,0,0,3,247,1
shield_heavy,paired_mage,3,90,6,0,1,797,0,0,3,269,1
shield_heavy,paired_mage,3,90,6,1,0,545,0,4,0,223,1
shield_heavy,paired_mage,3,90,7,0,1,570,0,0,4,219,1
shield_heavy,paired_mage,3,90,7,1,0,514,0,3,0,207,1
shield_heavy,paired_mage,3,90,8,0,0,669,0,3,0,264,1
shield_heavy,paired_mage,3,90,8,1,0,548,0,4,0,227,1
shield_heavy,rogue_pressure,1,10,1,0,0,721,0,3,0,262,1
shield_heavy,rogue_pressure,1,10,1,1,1,712,0,0,4,251,1
shield_heavy,rogue_pressure,1,10,2,0,0,650,0,2,0,257,1
shield_heavy,rogue_pressure,1,10,2,1,1,706,0,0,3,262,1
shield_heavy,rogue_pressure,1,10,3,0,0,800,1,3,1,288,1
shield_heavy,rogue_pressure,1,10,3,1,1,602,0,0,4,228,1
shield_heavy,rogue_pressure,1,10,4,0,0,597,0,4,0,242,1
shield_heavy,rogue_pressure,1,10,4,1,1,559,0,0,5,224,1
shield_heavy,rogue_pressure,1,10,5,0,0,714,0,2,0,251,1
shield_heavy,rogue_pressure,1,10,5,1,1,630,0,0,5,247,1
shield_heavy,rogue_pressure,1,10,6,0,0,800,1,1,1,261,1
shield_heavy,rogue_pressure,1,10,6,1,1,638,0,0,3,246,1
shield_heavy,rogue_pressure,1,10,7,0,0,577,0,4,0,218,1
shield_heavy,rogue_pressure,1,10,7,1,1,598,0,0,5,234,1
shield_heavy,rogue_pressure,1,10,8,0,0,714,0,2,0,258,1
shield_heavy,rogue_pressure,1,10,8,1,1,800,1,1,1,282,1
shield_heavy,rogue_pressure,2,30,1,0,0,721,0,3,0,262,1
shield_heavy,rogue_pressure,2,30,1,1,1,712,0,0,4,251,1
shield_heavy,rogue_pressure,2,30,2,0,0,650,0,2,0,257,1
shield_heavy,rogue_pressure,2,30,2,1,1,706,0,0,3,262,1
shield_heavy,rogue_pressure,2,30,3,0,0,800,1,2,1,285,1
shield_heavy,rogue_pressure,2,30,3,1,1,602,0,0,4,228,1
shield_heavy,rogue_pressure,2,30,4,0,0,597,0,4,0,242,1
shield_heavy,rogue_pressure,2,30,4,1,1,559,0,0,5,224,1
shield_heavy,rogue_pressure,2,30,5,0,0,714,0,2,0,251,1
shield_heavy,rogue_pressure,2,30,5,1,1,630,0,0,5,247,1
shield_heavy,rogue_pressure,2,30,6,0,0,800,1,1,1,261,1
shield_heavy,rogue_pressure,2,30,6,1,1,638,0,0,3,246,1
shield_heavy,rogue_pressure,2,30,7,0,0,577,0,4,0,218,1
shield_heavy,rogue_pressure,2,30,7,1,1,598,0,0,5,234,1
shield_heavy,rogue_pressure,2,30,8,0,0,714,0,2,0,258,1
shield_heavy,rogue_pressure,2,30,8,1,1,722,0,0,3,276,1
shield_heavy,rogue_pressure,3,90,1,0,0,721,0,2,0,273,1
shield_heavy,rogue_pressure,3,90,1,1,1,735,0,0,4,255,1
shield_heavy,rogue_pressure,3,90,2,0,0,678,0,3,0,263,1
shield_heavy,rogue_pressure,3,90,2,1,1,706,0,0,3,262,1
shield_heavy,rogue_pressure,3,90,3,0,0,800,1,2,1,285,1
shield_heavy,rogue_pressure,3,90,3,1,1,602,0,0,4,231,1
shield_heavy,rogue_pressure,3,90,4,0,0,597,0,4,0,242,1
shield_heavy,rogue_pressure,3,90,4,1,1,559,0,0,5,224,1
shield_heavy,rogue_pressure,3,90,5,0,0,714,0,2,0,252,1
shield_heavy,rogue_pressure,3,90,5,1,1,630,0,0,5,247,1
shield_heavy,rogue_pressure,3,90,6,0,0,777,0,2,0,264,1
shield_heavy,rogue_pressure,3,90,6,1,1,638,0,0,3,246,1
shield_heavy,rogue_pressure,3,90,7,0,0,800,1,3,1,248,1
shield_heavy,rogue_pressure,3,90,7,1,1,598,0,0,5,234,1
shield_heavy,rogue_pressure,3,90,8,0,0,714,0,2,0,258,1
shield_heavy,rogue_pressure,3,90,8,1,1,800,1,1,2,284,1
sustain,sustain,1,10,1,0,-1,800,1,1,1,220,1
sustain,sustain,1,10,1,1,-1,800,1,1,1,220,1
sustain,sustain,1,10,2,0,1,800,1,1,1,226,1
sustain,sustain,1,10,2,1,1,800,1,1,1,226,1
sustain,sustain,1,10,3,0,0,763,0,1,0,235,1
sustain,sustain,1,10,3,1,0,763,0,1,0,235,1
sustain,sustain,1,10,4,0,0,782,0,1,0,235,1
sustain,sustain,1,10,4,1,0,782,0,1,0,235,1
sustain,sustain,1,10,5,0,0,757,0,1,0,225,1
sustain,sustain,1,10,5,1,0,757,0,1,0,225,1
sustain,sustain,1,10,6,0,-1,782,0,0,0,237,1
sustain,sustain,1,10,6,1,-1,782,0,0,0,237,1
sustain,sustain,1,10,7,0,0,672,0,1,0,225,1
sustain,sustain,1,10,7,1,0,672,0,1,0,225,1
sustain,sustain,1,10,8,0,1,647,0,0,3,221,1
sustain,sustain,1,10,8,1,1,647,0,0,3,221,1
sustain,sustain,2,30,1,0,-1,800,1,1,1,222,1
sustain,sustain,2,30,1,1,-1,800,1,1,1,222,1
