mirror_pairs=32 outcome_changes=0 (measured ordering sensitivity, not fairness certification)
tournament seed=87 rounds=36 encounters=138 events=19434 timeouts=16 simulated_ms=1425950 wall_ms=1468
tournament seed=88 rounds=31 encounters=124 events=17398 timeouts=15 simulated_ms=1244350 wall_ms=1509
tournament seed=89 rounds=29 encounters=121 events=19191 timeouts=26 simulated_ms=1237050 wall_ms=1328
tournament seed=90 rounds=29 encounters=121 events=17934 timeouts=18 simulated_ms=1245700 wall_ms=1327
tournament seed=91 rounds=32 encounters=121 events=17213 timeouts=17 simulated_ms=1294400 wall_ms=1495
tournament seed=92 rounds=32 encounters=127 events=17733 timeouts=17 simulated_ms=1306550 wall_ms=1306
tournament seed=93 rounds=34 encounters=130 events=17147 timeouts=7 simulated_ms=1309600 wall_ms=1308
tournament seed=94 rounds=28 encounters=116 events=15788 timeouts=8 simulated_ms=1103100 wall_ms=1120
tournament seed=95 rounds=32 encounters=136 events=20627 timeouts=25 simulated_ms=1311650 wall_ms=1308
tournament seed=96 rounds=27 encounters=118 events=17857 timeouts=23 simulated_ms=1134700 wall_ms=1057
tournament seed=97 rounds=33 encounters=130 events=20357 timeouts=29 simulated_ms=1380650 wall_ms=1251
tournament seed=98 rounds=32 encounters=128 events=18077 timeouts=20 simulated_ms=1336400 wall_ms=1293
tournament seed=99 rounds=34 encounters=128 events=18510 timeouts=14 simulated_ms=1392000 wall_ms=1294
tournament seed=100 rounds=34 encounters=131 events=19784 timeouts=24 simulated_ms=1417550 wall_ms=1287
aggregate tournaments=100 events=1815540 timeouts=1844 ghosts=524 observed_active_counts=2 3 4 5 6 7 8 
PASS assertions=3379152 data_digest=95509d001ca0e6c55fa64a616df6e2e9a01a3809a9b9c82d9bd0a725dad3a1ec
