seed,rounds,simulated_ms,preparation_ms,combat_ms,settlement_ms,capped,encounters,timeouts,relic_choices,relic_equips,command_rejects
370,45,1925350,183750,1521600,220000,1,182,22,23,24,0
371,43,1793600,165650,1417950,210000,0,184,22,23,26,0
372,42,1879800,168600,1506200,205000,0,188,38,24,27,0
373,45,2004450,177250,1607200,220000,1,192,41,24,25,0
374,41,1813550,172050,1441500,200000,0,184,34,24,25,0
375,43,1906200,186650,1509550,210000,0,180,32,24,25,0
376,43,1872750,180650,1482100,210000,0,192,29,24,27,0
377,43,1878850,174150,1494700,210000,0,192,24,24,24,0
378,43,1852600,181650,1460950,210000,0,187,16,23,27,0
379,45,1959850,166250,1573600,220000,1,195,26,24,24,0
380,42,1817050,168600,1443450,205000,0,189,27,24,26,0
381,43,1859700,168150,1481550,210000,0,182,21,24,25,0
382,42,1812600,171100,1436500,205000,0,187,22,24,24,0
383,45,2032200,181750,1630450,220000,1,190,38,24,26,0
384,42,1818300,170100,1443200,205000,0,190,19,23,25,0
385,43,1852700,177150,1465550,210000,0,189,19,23,24,0
386,44,1949100,179200,1554900,215000,0,187,35,24,26,0
387,42,1821750,176600,1440150,205000,0,186,25,24,25,0
388,43,1899950,161150,1528800,210000,0,187,31,23,26,0
389,44,1874550,185200,1474350,215000,0,187,12,24,26,0
390,45,1962650,183750,1558900,220000,1,187,27,23,25,0
391,45,2014450,188750,1605700,220000,1,192,40,23,25,0
392,45,1930900,165750,1545150,220000,1,188,28,24,24,0
393,41,1844000,187550,1456450,200000,0,181,31,24,24,0
394,42,1767750,164600,1398150,205000,0,191,17,24,25,0
395,39,1735500,170450,1375050,190000,0,180,29,24,27,0
396,43,1919600,173650,1535950,210000,0,190,43,23,29,0
397,45,1909050,159750,1529300,220000,1,190,16,24,25,0
398,44,1861900,193200,1453700,215000,0,188,24,23,24,0
399,43,1878150,185150,1483000,210000,0,183,24,24,26,0
400,42,1900950,176100,1519850,205000,0,188,41,24,28,0
401,45,1872900,187750,1465150,220000,1,184,15,24,25,0
402,39,1749900,190450,1369450,190000,0,181,21,24,26,0
403,42,1851500,176100,1470400,205000,0,194,32,24,25,0
404,43,1912700,162650,1540050,210000,0,187,29,23,23,0
405,43,1868050,175650,1482400,210000,0,182,23,23,23,0
406,43,1853500,171150,1472350,210000,0,185,26,24,24,0
407,45,1999300,187750,1591550,220000,1,190,29,24,25,0
408,42,1842400,170100,1467300,205000,0,185,25,24,25,0
409,44,1950250,179700,1555550,215000,0,190,27,24,25,0
410,44,1999450,195200,1589250,215000,0,189,40,24,25,0
411,42,1849100,189600,1454500,205000,0,193,29,24,26,0
412,45,1885500,159250,1506250,220000,1,190,16,24,24,0
413,44,1965650,180700,1569950,215000,0,191,37,23,25,0
414,44,1936350,171200,1550150,215000,0,183,33,23,25,0
415,45,2003200,178750,1604450,220000,1,189,30,24,24,0
416,44,1941750,177700,1549050,215000,0,185,26,24,24,0
417,43,1864400,152650,1501750,210000,0,187,27,24,26,0
418,44,1962250,194200,1553050,215000,0,186,30,23,24,0
419,42,1836650,166100,1465550,205000,0,187,31,24,24,0
420,45,1973650,180750,1572900,220000,1,190,23,24,25,0
421,44,1955700,160200,1580500,215000,0,181,34,23,25,0
422,42,1880850,208600,1467250,205000,0,185,30,23,28,0
423,45,1927900,183750,1524150,220000,1,191,20,24,25,0
424,43,1806300,187650,1408650,210000,0,189,12,23,25,0
425,43,1967400,199650,1557750,210000,0,192,35,24,26,0
426,45,1971450,177750,1573700,220000,1,190,35,23,24,0
427,43,1742400,173150,1359250,210000,0,187,19,24,24,0
428,41,1733750,169550,1364200,200000,0,182,20,24,25,0
429,42,1790350,187100,1398250,205000,0,190,17,24,24,0
430,44,1916250,165700,1535550,215000,0,187,23,24,26,0
431,44,1875850,160700,1500150,215000,0,189,24,23,24,0
432,45,2004800,161750,1623050,220000,1,192,35,24,27,0
433,42,1788650,180600,1403050,205000,0,180,20,23,25,0
434,43,1900350,172650,1517700,210000,0,183,27,24,25,0
435,45,1975450,206250,1549200,220000,1,187,29,23,23,0
436,43,1948150,185150,1553000,210000,0,185,40,23,25,0
437,42,1876050,159600,1511450,205000,0,188,37,24,24,0
438,42,1816700,172100,1439600,205000,0,184,17,24,25,0
439,44,1960750,183700,1562050,215000,0,188,27,23,26,0
440,43,1880050,165150,1504900,210000,0,185,31,24,27,0
441,45,1860550,155250,1485300,220000,1,191,16,23,23,0
442,43,1911400,161650,1539750,210000,0,188,42,23,25,0
443,45,1914300,164250,1530050,220000,1,193,22,24,28,0
444,43,1928200,174650,1543550,210000,0,192,39,24,26,0
445,45,1976850,171750,1585100,220000,1,184,25,24,26,0
446,42,1804850,185100,1414750,205000,0,187,25,24,25,0
447,43,1905400,174150,1521250,210000,0,184,26,24,25,0
