seed,rounds,simulated_ms,wall_ms,winner_seats,timeouts,encounters,combat_events,bot_commands,bot_rejects,ghosts,final_hash,idle_unit_ms,stunned_unit_ms
37,29,1199750,858,1,21,125,19269,725,0,3,6995088667479221572,63550,646400
38,31,1292650,937,1,23,126,19324,793,0,8,1911066719244698556,66300,457050
39,32,1299250,923,1,20,124,17367,727,0,3,7831919031578170575,63150,265500
40,29,1194300,940,1,21,124,18094,724,0,8,17003692511107064662,70650,428100
41,31,1303500,1102,1,28,128,19432,799,0,9,9709286358078043532,67200,544700
42,27,1117400,836,1,23,119,17719,676,0,4,11518509984974921111,73400,377250
43,37,1555450,1064,1,24,129,19533,736,0,5,862830921320694092,66250,493100
44,33,1351000,1202,1,22,135,19499,800,0,8,11710248216189284899,72850,315300
45,26,1062850,973,1,26,114,17168,713,0,4,6760698730616444989,64200,639450
46,37,1440200,1262,1,11,138,20012,820,0,6,14389360628897539868,71050,601400
47,31,1271600,1080,1,20,125,18832,759,0,5,5626332453700199861,65050,426650
48,34,1356500,1226,1,15,138,18517,789,0,10,4810673502983642254,80150,453950
49,32,1293850,1020,1,16,129,18097,752,0,9,8336460373288683380,71050,369850
50,28,1113350,892,1,10,126,17135,772,0,6,10699770714988449762,79800,453550
51,34,1377050,1055,1,16,130,18658,676,0,8,12254494790965328302,66900,482650
52,32,1352000,1176,1,28,134,21269,824,0,7,5846255632916345611,68700,449650
53,31,1263400,1140,1,16,132,19445,704,0,8,7389611953820697199,67850,602750
54,29,1165200,969,1,12,120,16526,785,0,6,15332225238272462150,65200,612000
55,33,1335100,1012,1,20,127,18614,712,0,6,4601174156990339024,64900,473050
56,33,1414450,1020,1,26,125,19276,770,0,10,5963895846150933977,67050,391100
57,27,1118650,921,1,18,118,16375,840,0,1,8769564941338478344,62150,479550
58,29,1186300,881,1,14,128,17672,764,0,7,3796011866166688615,65600,398750
59,33,1319150,1112,1,19,131,18820,843,0,9,2254382494943836629,67750,477150
60,33,1372100,987,1,21,130,19703,834,0,8,4988165520953681629,66650,299550
61,34,1327450,992,1,7,137,18534,838,0,7,5520778073178409500,72550,465150
62,27,1146150,892,1,33,127,20296,849,0,4,12966855653218602183,64650,650950
63,28,1116150,853,1,15,120,17128,747,0,7,16453640788925779130,60900,216700
64,39,1601550,1193,1,26,138,21100,778,0,6,12354456613136630823,71800,319600
65,31,1268450,984,1,11,128,19144,799,0,6,3469850820893661348,72050,475250
66,29,1223550,889,1,26,120,18206,751,0,5,2822591984864945349,62050,463300
67,27,1057250,790,1,11,123,16562,741,0,5,3244186925324903650,67150,520500
68,29,1176050,837,1,17,122,17395,703,0,5,4601112866176870793,65250,567650
69,35,1522350,1028,1,36,132,21735,870,0,5,1296228964565459112,67850,370750
70,29,1105900,893,1,6,123,15464,834,0,2,13477214526599710113,63100,351500
71,28,1142100,885,1,13,129,18684,842,0,1,12009658074245364975,65600,425150
72,32,1297150,1007,1,17,123,18084,828,0,4,16662156410341048191,66800,666150
73,28,1102250,880,1,14,121,16715,750,0,1,15964042750541522373,62150,380800
74,33,1290650,1020,1,10,128,16622,787,0,6,7137756227406583426,66100,126700
75,29,1261950,1135,1,20,125,19376,857,0,6,2765883971028885574,64950,529600
76,29,1125000,898,1,6,121,14363,819,0,7,16080980783136469237,64050,191450
77,33,1385700,1179,1,29,132,20675,846,0,7,4563648074249685090,67600,411400
78,33,1398100,1028,1,22,124,18222,806,0,6,1303115847673779936,66400,670550
79,28,1177500,933,1,34,119,18292,713,0,7,5962980588467290008,63800,581950
80,31,1192400,956,1,8,128,17068,763,0,6,6550092218199249686,67750,149650
81,29,1166500,1070,1,12,130,17415,820,0,5,455808891793988235,67850,348800
82,27,1165900,923,1,23,121,18550,777,0,6,14457930861057397943,62800,354400
83,33,1334700,1101,1,9,133,17992,845,0,7,6060630612369539822,69000,208500
84,29,1232900,1376,1,20,116,17411,786,0,5,5454503468230927934,59500,495750
85,29,1174500,1189,1,14,122,17296,746,0,6,1667675499316854988,68000,318350
86,32,1310300,1722,1,9,129,18469,856,0,4,16641372090980226298,66850,340450
87,36,1457600,1272,1,18,135,19767,787,0,7,590941910022406822,73050,485450
88,33,1342100,1075,1,14,125,17568,768,0,5,16650943260506641928,64650,292300
89,32,1334900,1055,1,25,126,20211,779,0,6,14239012036944175326,70800,604300
90,32,1339600,1151,1,23,124,17892,735,0,5,1674654701726370833,71400,527700
91,28,1158900,1072,1,13,117,16725,824,0,5,11549503847515021099,63500,403300
92,36,1526300,1054,1,26,130,20127,766,0,4,4800634054310906095,68100,598800
93,29,1178300,1014,1,8,124,15612,866,0,1,2864352962709886950,63750,365900
94,29,1192750,961,1,13,121,17909,783,0,5,13872686527753059296,62500,397150
95,32,1316000,1047,1,16,123,16603,758,0,5,14378157644131074431,65350,297300
96,30,1225100,987,1,35,129,20250,727,0,8,10612497764606089150,76550,722500
97,34,1464700,1322,1,37,131,20959,826,0,2,8175777915045472183,67000,517250
98,29,1201400,2762,1,18,119,17525,849,0,2,4248913287110377087,60700,495950
99,27,1133400,1937,1,21,121,17762,804,0,5,15694371386236735193,64750,493450
100,27,1112750,2670,1,9,120,16631,797,0,3,11597602171264699379,60900,543550
