seed,round,pvp_round_index,kind,wave_id,seat_a,seat_b,winner,ticks,timeout,survivors_a,survivors_b
1,10,5,2,wc_wave_10,7,-1,0,257,0,6,0
1,11,6,0,,0,7,1,800,1,1,3
1,11,6,0,,1,5,1,608,0,0,4
1,11,6,0,,2,6,1,638,0,0,4
1,11,6,0,,3,4,1,576,0,0,3
1,12,7,0,,0,3,0,741,0,3,0
1,12,7,0,,1,4,1,773,0,0,2
1,12,7,0,,2,7,1,609,0,0,6
1,12,7,0,,5,6,1,739,0,0,3
1,13,8,0,,0,5,1,770,0,0,3
1,13,8,0,,1,7,1,665,0,0,4
1,13,8,0,,2,4,1,751,0,0,4
1,13,8,0,,3,6,1,746,0,0,1
1,14,9,0,,0,2,0,610,0,5,0
1,14,9,0,,1,6,1,663,0,0,3
1,14,9,0,,3,4,1,718,0,0,4
1,14,9,0,,5,7,1,592,0,0,5
1,15,9,2,wc_wave_15,0,-1,0,436,0,4,0
1,15,9,2,wc_wave_15,1,-1,0,300,0,4,0
1,15,9,2,wc_wave_15,2,-1,0,444,0,4,0
1,15,9,2,wc_wave_15,3,-1,0,324,0,4,0
1,15,9,2,wc_wave_15,4,-1,0,394,0,4,0
1,15,9,2,wc_wave_15,5,-1,0,304,0,6,0
1,15,9,2,wc_wave_15,6,-1,0,322,0,5,0
1,15,9,2,wc_wave_15,7,-1,0,262,0,6,0
1,16,10,0,,0,6,0,699,0,2,0
1,16,10,0,,1,2,1,800,1,1,1
1,16,10,0,,3,5,1,493,0,0,5
1,16,10,0,,4,7,1,571,0,0,5
1,17,11,0,,0,3,0,745,0,3,0
1,17,11,0,,1,4,0,532,0,3,0
1,17,11,0,,2,7,1,522,0,0,6
1,17,11,0,,5,6,0,780,0,3,0
1,18,12,1,,7,3,0,524,0,5,0
1,18,12,0,,0,4,0,606,0,4,0
1,18,12,0,,1,5,1,614,0,0,4
1,18,12,0,,3,6,1,552,0,0,3
1,19,13,1,,4,6,1,578,0,0,4
1,19,13,0,,0,7,1,768,0,0,5
1,19,13,0,,5,6,0,685,0,4,0
1,20,13,2,wc_wave_20,0,-1,1,631,0,0,1
1,20,13,2,wc_wave_20,4,-1,1,479,0,0,1
1,20,13,2,wc_wave_20,5,-1,0,558,0,2,0
1,20,13,2,wc_wave_20,6,-1,0,733,0,1,0
1,20,13,2,wc_wave_20,7,-1,0,456,0,3,0
1,21,14,1,,5,4,0,603,0,4,0
1,21,14,0,,0,4,1,800,1,2,3
1,21,14,0,,6,7,1,546,0,0,5
1,22,15,1,,0,6,1,800,1,1,2
1,22,15,0,,4,6,1,562,0,0,4
1,22,15,0,,5,7,1,800,1,1,3
1,23,16,0,,0,5,1,624,0,0,5
1,23,16,0,,6,7,1,724,0,0,4
1,24,17,0,,0,7,1,731,0,0,5
1,24,17,0,,5,6,0,701,0,3,0
1,25,17,2,wc_wave_25,5,-1,0,651,0,4,0
1,25,17,2,wc_wave_25,7,-1,0,735,0,2,0
1,26,18,0,,5,7,1,800,1,1,3
1,27,19,0,,5,7,0,800,1,2,1
1,28,20,0,,5,7,0,800,1,2,3
1,29,21,0,,5,7,1,762,0,0,3
2,1,0,2,wc_wave_01,0,-1,0,86,0,4,0
2,1,0,2,wc_wave_01,1,-1,0,76,0,4,0
2,1,0,2,wc_wave_01,2,-1,0,82,0,4,0
2,1,0,2,wc_wave_01,3,-1,0,56,0,4,0
2,1,0,2,wc_wave_01,4,-1,0,82,0,4,0
2,1,0,2,wc_wave_01,5,-1,0,83,0,4,0
2,1,0,2,wc_wave_01,6,-1,0,56,0,4,0
2,1,0,2,wc_wave_01,7,-1,0,82,0,4,0
2,2,0,2,wc_wave_02,0,-1,0,86,0,4,0
2,2,0,2,wc_wave_02,1,-1,0,112,0,4,0
2,2,0,2,wc_wave_02,2,-1,0,119,0,4,0
2,2,0,2,wc_wave_02,3,-1,0,99,0,4,0
2,2,0,2,wc_wave_02,4,-1,0,124,0,4,0
2,2,0,2,wc_wave_02,5,-1,0,77,0,4,0
2,2,0,2,wc_wave_02,6,-1,0,105,0,4,0
2,2,0,2,wc_wave_02,7,-1,0,180,0,4,0
2,3,0,2,wc_wave_03,0,-1,0,129,0,5,0
2,3,0,2,wc_wave_03,1,-1,0,112,0,5,0
2,3,0,2,wc_wave_03,2,-1,0,157,0,5,0
2,3,0,2,wc_wave_03,3,-1,0,99,0,5,0
2,3,0,2,wc_wave_03,4,-1,0,142,0,5,0
2,3,0,2,wc_wave_03,5,-1,0,74,0,5,0
2,3,0,2,wc_wave_03,6,-1,0,117,0,5,0
2,3,0,2,wc_wave_03,7,-1,0,158,0,5,0
2,4,1,0,,0,1,1,404,0,0,4
2,4,1,0,,2,4,0,800,1,3,1
2,4,1,0,,3,6,0,384,0,4,0
2,4,1,0,,5,7,0,800,1,2,1
2,5,1,2,wc_wave_05,0,-1,0,214,0,5,0
2,5,1,2,wc_wave_05,1,-1,0,195,0,5,0
2,5,1,2,wc_wave_05,2,-1,0,215,0,5,0
2,5,1,2,wc_wave_05,3,-1,0,146,0,5,0
2,5,1,2,wc_wave_05,4,-1,0,293,0,5,0
2,5,1,2,wc_wave_05,5,-1,0,163,0,5,0
2,5,1,2,wc_wave_05,6,-1,0,191,0,5,0
2,5,1,2,wc_wave_05,7,-1,0,235,0,5,0
2,6,2,0,,0,3,1,278,0,0,5
2,6,2,0,,1,2,1,800,1,1,2
2,6,2,0,,4,5,0,800,1,2,2
2,6,2,0,,6,7,1,646,0,0,4
2,7,3,0,,0,7,1,487,0,0,6
2,7,3,0,,1,3,1,462,0,0,6
2,7,3,0,,2,5,1,569,0,0,4
2,7,3,0,,4,6,1,800,1,1,3
2,8,4,0,,0,2,0,551,0,3,0
2,8,4,0,,1,6,0,535,0,4,0
2,8,4,0,,3,5,0,445,0,3,0
2,8,4,0,,4,7,1,800,1,1,5
2,9,5,0,,0,5,0,486,0,3,0
2,9,5,0,,1,4,0,732,0,3,0
2,9,5,0,,2,6,1,552,0,0,2
2,9,5,0,,3,7,1,603,0,0,4
2,10,5,2,wc_wave_10,0,-1,0,288,0,5,0
2,10,5,2,wc_wave_10,1,-1,0,263,0,6,0
2,10,5,2,wc_wave_10,2,-1,0,395,0,4,0
2,10,5,2,wc_wave_10,3,-1,0,157,0,6,0
2,10,5,2,wc_wave_10,4,-1,0,281,0,6,0
2,10,5,2,wc_wave_10,5,-1,0,193,0,6,0
2,10,5,2,wc_wave_10,6,-1,0,251,0,6,0
2,10,5,2,wc_wave_10,7,-1,0,255,0,6,0
2,11,6,0,,0,4,0,693,0,3,0
2,11,6,0,,1,7,1,650,0,0,5
2,11,6,0,,2,3,1,396,0,0,4
2,11,6,0,,5,6,0,584,0,1,0
2,12,7,0,,0,6,1,760,0,0,1
