wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters,frontend_page
7.288327,2,2,4,32,0,16.666800,2.988500,3.495500,16.629801,1,41092,41092,1,0,closed
7.304825,2,2,4,32,0,16.666800,2.550900,3.552400,16.721901,1,41092,41092,1,0,closed
7.321633,2,2,4,32,0,16.667002,2.495300,3.805900,16.281601,1,41092,41092,1,0,closed
7.338224,2,2,4,32,0,16.666901,2.508400,3.863900,16.864300,1,41092,41092,1,0,closed
7.356855,2,2,4,32,0,16.666698,2.596600,3.841700,16.851999,1,41091,41091,1,0,closed
7.371535,2,2,4,32,0,16.666901,5.489700,3.362700,18.759600,1,41091,41091,1,0,closed
7.388220,2,2,4,32,0,16.666998,2.878500,3.833100,14.270500,1,41091,41091,1,0,closed
7.404920,2,2,4,32,0,16.666901,2.722200,3.087100,16.985100,1,41091,41091,1,0,closed
7.421497,2,2,4,32,0,16.666901,2.673200,3.567100,16.860100,1,41091,41091,1,0,closed
7.438182,2,2,4,32,0,16.667002,3.431200,3.789700,16.098301,1,41091,41091,1,0,closed
7.454916,2,2,4,32,0,16.669899,2.497900,3.994400,16.681999,1,41091,41091,1,0,closed
7.471568,2,2,4,32,0,16.667101,2.828400,3.719800,16.840700,1,41091,41091,1,0,closed
7.488248,2,2,4,32,0,16.666998,2.778700,4.925900,16.996401,1,41091,41091,1,0,closed
7.504987,2,2,4,32,0,16.666901,3.294400,5.277700,16.477200,1,41091,41091,1,0,closed
7.521590,2,2,4,32,0,16.667002,3.362000,5.024000,17.249300,1,41091,41091,1,0,closed
7.538230,2,2,4,32,0,16.667299,3.593500,5.141800,16.089001,1,41091,41091,1,0,closed
7.555134,2,2,4,32,0,16.759403,3.091500,4.872300,16.697399,1,41091,41091,1,0,closed
7.573079,0,3,4,0,0,16.666800,3.688800,5.656300,17.029100,1,8720,8720,1,0,closed
7.597736,0,3,4,0,0,26.155300,27.114401,5.656300,17.029100,1,8720,8720,1,0,closed
7.614430,0,3,4,0,0,16.666897,3.864600,5.349100,6.721600,1,8720,8720,1,0,closed
7.631072,0,3,4,0,0,16.666800,5.831200,4.315300,14.039000,1,8720,8720,1,0,closed
7.647792,0,3,4,0,0,16.666803,2.555200,3.360500,15.278100,1,8720,8720,1,0,closed
7.664385,0,3,4,0,0,16.666800,2.319300,4.094700,16.883699,1,8720,8720,1,0,closed
7.681136,0,3,4,0,0,16.666698,2.369600,3.742500,16.481300,1,8720,8720,1,0,closed
7.698768,0,3,4,0,0,16.666698,3.230200,5.788500,17.530899,1,8720,8720,1,0,closed
7.714638,0,3,4,0,0,16.666901,4.098200,4.615000,17.044500,1,8720,8720,1,0,closed
7.731068,0,3,4,0,0,16.667002,3.298700,4.555500,15.910900,1,8720,8720,1,0,closed
7.747925,0,3,4,0,0,16.666901,2.851200,4.027700,16.328699,1,8720,8720,1,0,closed
7.764445,0,3,4,0,0,16.666800,3.043900,5.547500,16.932899,1,8720,8720,1,0,closed
7.781122,0,3,4,0,0,16.666698,2.847600,3.912700,16.312300,1,8720,8720,1,0,closed
7.798573,0,3,4,0,0,16.666901,2.482900,3.559000,16.855000,1,8794,8794,1,0,closed
7.814447,0,3,4,0,0,16.666901,3.745200,4.633300,17.766399,1,8794,8794,1,0,closed
7.831124,0,3,4,0,0,16.666901,3.185000,4.949500,15.520800,1,8794,8794,1,0,closed
7.847818,0,3,4,0,0,16.666800,2.828100,4.337800,16.659401,1,8794,8794,1,0,closed
7.864392,0,3,4,0,0,16.666998,2.935300,4.680100,16.714800,1,8794,8794,1,0,closed
7.881045,0,3,4,0,0,16.666901,3.529100,4.073000,17.055700,1,8794,8794,1,0,closed
7.962248,0,3,4,0,0,79.174698,2.497500,0.296800,15.900700,1,8870,8870,1,0,closed
7.976864,0,3,5,0,0,16.666698,72.668404,5.472500,83.601402,1,8870,8870,1,0,closed
7.993578,0,3,5,0,0,16.667002,3.632200,5.105600,12.395500,1,8870,8870,1,0,closed
