formation_a,formation_b,star,seed,original_winner_relative_to_a,swapped_winner_relative_to_a,outcome_changed,original_ticks,swapped_ticks
sustain,rogue_pressure,3,4,0,0,False,678,545
sustain,rogue_pressure,3,5,0,0,False,620,566
sustain,rogue_pressure,3,6,0,0,False,667,579
sustain,rogue_pressure,3,7,0,0,False,800,640
sustain,rogue_pressure,3,8,0,1,True,573,669
spread_ranged,paired_mage,1,1,0,0,False,444,433
spread_ranged,paired_mage,1,2,0,0,False,422,472
spread_ranged,paired_mage,1,3,0,0,False,440,510
spread_ranged,paired_mage,1,4,0,0,False,584,487
spread_ranged,paired_mage,1,5,0,0,False,510,497
spread_ranged,paired_mage,1,6,0,0,False,509,446
spread_ranged,paired_mage,1,7,0,0,False,510,510
spread_ranged,paired_mage,1,8,0,0,False,444,530
spread_ranged,paired_mage,2,1,0,0,False,444,433
spread_ranged,paired_mage,2,2,0,0,False,422,472
spread_ranged,paired_mage,2,3,0,0,False,440,510
spread_ranged,paired_mage,2,4,0,0,False,584,487
spread_ranged,paired_mage,2,5,0,0,False,510,497
spread_ranged,paired_mage,2,6,0,0,False,509,446
spread_ranged,paired_mage,2,7,0,0,False,510,510
spread_ranged,paired_mage,2,8,0,0,False,444,530
spread_ranged,paired_mage,3,1,0,0,False,444,433
spread_ranged,paired_mage,3,2,0,0,False,422,472
spread_ranged,paired_mage,3,3,0,0,False,440,510
spread_ranged,paired_mage,3,4,0,0,False,584,487
spread_ranged,paired_mage,3,5,0,0,False,510,497
spread_ranged,paired_mage,3,6,0,0,False,509,446
spread_ranged,paired_mage,3,7,0,0,False,510,510
spread_ranged,paired_mage,3,8,0,0,False,444,530
spread_ranged,rogue_pressure,1,1,0,0,False,594,613
spread_ranged,rogue_pressure,1,2,0,0,False,581,585
spread_ranged,rogue_pressure,1,3,0,0,False,629,606
spread_ranged,rogue_pressure,1,4,0,0,False,577,613
spread_ranged,rogue_pressure,1,5,0,0,False,550,607
spread_ranged,rogue_pressure,1,6,0,0,False,528,663
spread_ranged,rogue_pressure,1,7,0,0,False,588,663
spread_ranged,rogue_pressure,1,8,0,0,False,678,603
spread_ranged,rogue_pressure,2,1,0,0,False,594,613
spread_ranged,rogue_pressure,2,2,0,0,False,581,581
spread_ranged,rogue_pressure,2,3,0,0,False,629,606
spread_ranged,rogue_pressure,2,4,0,0,False,577,613
spread_ranged,rogue_pressure,2,5,0,0,False,550,607
spread_ranged,rogue_pressure,2,6,0,0,False,528,663
spread_ranged,rogue_pressure,2,7,0,0,False,588,663
spread_ranged,rogue_pressure,2,8,0,0,False,678,603
spread_ranged,rogue_pressure,3,1,0,0,False,594,613
spread_ranged,rogue_pressure,3,2,0,0,False,581,581
spread_ranged,rogue_pressure,3,3,0,0,False,629,606
spread_ranged,rogue_pressure,3,4,0,0,False,577,613
spread_ranged,rogue_pressure,3,5,0,0,False,550,607
spread_ranged,rogue_pressure,3,6,0,0,False,579,663
spread_ranged,rogue_pressure,3,7,0,0,False,600,663
spread_ranged,rogue_pressure,3,8,0,0,False,678,603
paired_mage,rogue_pressure,1,1,0,0,False,671,570
paired_mage,rogue_pressure,1,2,0,0,False,595,577
paired_mage,rogue_pressure,1,3,0,0,False,800,501
paired_mage,rogue_pressure,1,4,0,0,False,727,758
paired_mage,rogue_pressure,1,5,0,0,False,507,485
paired_mage,rogue_pressure,1,6,0,0,False,481,560
paired_mage,rogue_pressure,1,7,0,0,False,550,624
paired_mage,rogue_pressure,1,8,0,0,False,523,736
paired_mage,rogue_pressure,2,1,0,0,False,604,570
paired_mage,rogue_pressure,2,2,0,0,False,595,577
paired_mage,rogue_pressure,2,3,0,0,False,800,501
paired_mage,rogue_pressure,2,4,0,0,False,727,758
paired_mage,rogue_pressure,2,5,0,0,False,507,485
paired_mage,rogue_pressure,2,6,0,0,False,481,560
paired_mage,rogue_pressure,2,7,0,0,False,550,624
paired_mage,rogue_pressure,2,8,0,0,False,523,642
paired_mage,rogue_pressure,3,1,0,0,False,671,570
paired_mage,rogue_pressure,3,2,0,0,False,595,577
paired_mage,rogue_pressure,3,3,0,0,False,800,501
paired_mage,rogue_pressure,3,4,0,0,False,727,758
paired_mage,rogue_pressure,3,5,0,0,False,507,485
paired_mage,rogue_pressure,3,6,0,0,False,481,560
paired_mage,rogue_pressure,3,7,0,0,False,550,624
paired_mage,rogue_pressure,3,8,0,0,False,523,642
