C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_pippa.py:59: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat=bpy.data.materials.new('M_'+UID);mat.use_nodes=True
01:03.109  render           | Video append frame 1
01:03.125  render           | Video append frame 2
01:03.156  render           | Video append frame 3
01:03.172  render           | Video append frame 4
01:03.187  render           | Video append frame 5
01:03.218  render           | Video append frame 6
01:03.234  render           | Video append frame 7
01:03.265  render           | Video append frame 8
01:03.281  render           | Video append frame 9
01:03.297  render           | Video append frame 10
01:03.312  render           | Video append frame 11
01:03.343  render           | Video append frame 12
01:03.359  render           | Video append frame 13
01:03.375  render           | Video append frame 14
01:03.406  render           | Video append frame 15
01:03.422  render           | Video append frame 16
01:03.453  render           | Video append frame 17
01:03.468  render           | Video append frame 18
01:03.484  render           | Video append frame 19
01:03.515  render           | Video append frame 20
01:03.531  render           | Video append frame 21
01:03.547  render           | Video append frame 22
01:03.578  render           | Video append frame 23
01:03.593  render           | Video append frame 24
01:03.625  render           | Video append frame 25
01:03.640  render           | Video append frame 26
01:03.656  render           | Video append frame 27
01:03.687  render           | Video append frame 28
01:03.703  render           | Video append frame 29
01:03.734  render           | Video append frame 30
01:03.750  render           | Video append frame 31
01:03.765  render           | Video append frame 32
01:03.797  render           | Video append frame 33
01:03.812  render           | Video append frame 34
01:03.828  render           | Video append frame 35
01:03.859  render           | Video append frame 36
01:03.875  render           | Video append frame 37
01:03.890  render           | Video append frame 38
01:03.922  render           | Video append frame 39
01:03.937  render           | Video append frame 40
01:03.953  render           | Video append frame 41
01:03.984  render           | Video append frame 42
01:04.000  render           | Video append frame 43
01:04.031  render           | Video append frame 44
01:04.047  render           | Video append frame 45
01:04.062  render           | Video append frame 46
01:04.093  render           | Video append frame 47
01:04.109  render           | Video append frame 48
01:04.140  render           | Video append frame 49
01:04.156  render           | Video append frame 50
01:04.172  render           | Video append frame 51
01:04.203  render           | Video append frame 52
01:04.218  render           | Video append frame 53
01:04.234  render           | Video append frame 54
01:04.265  render           | Video append frame 55
01:04.281  render           | Video append frame 56
01:04.312  render           | Video append frame 57
01:04.328  render           | Video append frame 58
01:04.343  render           | Video append frame 59
01:04.375  render           | Video append frame 60
01:04.390  render           | Video append frame 61
01:04.437  render           | Video append frame 1
01:04.453  render           | Video append frame 2
01:04.468  render           | Video append frame 3
01:04.500  render           | Video append frame 4
01:04.515  render           | Video append frame 5
01:04.531  render           | Video append frame 6
01:04.547  render           | Video append frame 7
01:04.578  render           | Video append frame 8
01:04.593  render           | Video append frame 9
01:04.609  render           | Video append frame 10
01:04.640  render           | Video append frame 11
01:04.656  render           | Video append frame 12
01:04.672  render           | Video append frame 13
01:04.703  render           | Video append frame 14
01:04.718  render           | Video append frame 15
01:04.734  render           | Video append frame 16
01:04.765  render           | Video append frame 17
01:04.781  render           | Video append frame 18
01:04.797  render           | Video append frame 19
01:04.812  render           | Video append frame 20
01:04.843  render           | Video append frame 21
01:04.859  render           | Video append frame 22
01:04.875  render           | Video append frame 23
01:04.906  render           | Video append frame 24
01:04.922  render           | Video append frame 25
01:04.937  render           | Video append frame 26
01:04.968  render           | Video append frame 27
01:04.984  render           | Video append frame 28
01:05.000  render           | Video append frame 29
01:05.031  render           | Video append frame 30
01:05.047  render           | Video append frame 31
01:05.062  render           | Video append frame 32
01:05.093  render           | Video append frame 33
01:05.109  render           | Video append frame 34
01:05.140  render           | Video append frame 35
01:05.172  render           | Video append frame 36
01:05.187  render           | Video append frame 37
01:05.218  render           | Video append frame 38
01:05.234  render           | Video append frame 39
01:05.265  render           | Video append frame 40
01:05.281  render           | Video append frame 41
01:05.312  render           | Video append frame 42
01:05.328  render           | Video append frame 43
01:05.359  render           | Video append frame 44
01:05.390  render           | Video append frame 45
01:05.406  render           | Video append frame 46
01:05.437  render           | Video append frame 47
01:05.468  render           | Video append frame 48
01:05.500  render           | Video append frame 49
01:05.515  render           | Video append frame 50
01:05.547  render           | Video append frame 51
