wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available,public_chars,public_utf8_bytes,neutral_round,neutral_live_encounters
7.651044,0,4,4,0,0,16.666698,3.584400,4.384400,18.294701,1,7864,7864,0,0
7.667941,0,4,4,0,0,16.667002,2.309300,4.388200,15.039500,1,7864,7864,0,0
7.684350,0,4,4,0,0,16.666901,2.509200,4.802000,16.871500,1,7864,7864,0,0
7.702134,0,4,4,0,0,16.666800,1.889300,3.649800,16.413700,1,7863,7863,0,0
7.717633,0,4,4,0,0,16.666800,3.236100,3.107500,18.024401,1,7863,7863,0,0
7.734349,0,4,4,0,0,16.666698,2.005300,3.397000,15.313900,1,7863,7863,0,0
7.751004,0,4,4,0,0,16.666901,2.284000,3.893500,16.797701,1,7863,7863,0,0
7.767763,0,4,4,0,0,16.666800,3.855400,4.220100,18.307100,1,7863,7863,0,0
7.784385,0,4,4,0,0,16.666901,2.892300,3.156700,15.054800,1,7863,7863,0,0
7.801114,0,4,4,0,0,16.666901,2.752600,4.830200,16.630800,1,7863,7863,0,0
7.817771,0,4,4,0,0,16.666800,2.478700,5.580200,16.768999,1,7863,7863,0,0
7.834362,0,4,4,0,0,16.666901,2.310800,3.732200,16.653400,1,7863,7863,0,0
7.851037,0,4,4,0,0,16.666698,2.063400,3.779200,16.561100,1,7863,7863,0,0
7.867735,0,4,4,0,0,16.666698,2.092700,4.099500,16.691200,1,7863,7863,0,0
7.884355,0,4,4,0,0,16.666901,2.392800,4.474000,16.687099,1,7863,7863,0,0
7.901061,0,4,4,0,0,16.678099,2.135000,4.192200,16.538601,1,7863,7863,0,0
7.917695,0,4,4,0,0,16.666901,2.164400,3.741500,16.827400,1,7863,7863,0,0
7.934379,0,4,4,0,0,16.666901,2.063100,4.070800,16.553900,1,7863,7863,0,0
7.952383,0,4,4,0,0,16.666698,5.653400,4.178000,19.577900,1,7937,7937,0,0
7.967785,0,4,5,0,0,16.666901,5.933300,4.910600,15.655900,1,7937,7937,0,0
7.984365,0,4,5,0,0,16.666800,2.513900,4.297300,14.981200,1,7937,7937,0,0
8.001084,0,4,5,0,0,16.667002,2.388400,4.226600,16.397301,1,7937,7937,0,0
8.017738,0,4,5,0,0,16.666901,2.324200,3.975200,16.774099,1,7937,7937,0,0
8.034441,0,4,5,0,0,16.666800,2.481500,3.747200,16.636900,1,7937,7937,0,0
8.051078,0,4,5,0,0,16.667002,2.405900,4.481700,17.009701,1,7937,7937,0,0
8.067745,0,4,5,0,0,16.666800,3.330100,4.961900,17.137699,1,7937,7937,0,0
8.084386,0,4,5,0,0,16.666800,2.737200,4.213700,15.928300,1,7937,7937,0,0
8.101157,0,4,5,0,0,16.667002,2.474200,3.906600,16.620501,1,7937,7937,0,0
8.117700,0,4,5,0,0,16.666800,2.603800,4.596400,17.076300,1,7937,7937,0,0
8.134402,0,4,5,0,0,16.667002,5.054600,4.132200,18.682800,1,7937,7937,0,0
8.151031,0,4,5,0,0,16.666800,6.041400,4.682200,16.752701,1,7937,7937,0,0
8.167694,0,4,5,0,0,16.666998,2.815000,3.812600,14.037000,1,7937,7937,0,0
