C:\Users\iputu\Documents\Wonder Chess\tools\blender\author_update_dragonkin.py:56: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  mat = bpy.data.materials.new('M_' + UID); mat.use_nodes = True
01:42.875  render           | Video append frame 36
01:42.907  render           | Video append frame 37
01:42.922  render           | Video append frame 38
01:42.953  render           | Video append frame 39
01:42.985  render           | Video append frame 40
01:43.016  render           | Video append frame 41
01:43.032  render           | Video append frame 42
01:43.047  render           | Video append frame 43
01:43.094  render           | Video append frame 1
01:43.125  render           | Video append frame 2
01:43.141  render           | Video append frame 3
01:43.157  render           | Video append frame 4
01:43.172  render           | Video append frame 5
01:43.203  render           | Video append frame 6
01:43.219  render           | Video append frame 7
01:43.235  render           | Video append frame 8
01:43.250  render           | Video append frame 9
01:43.282  render           | Video append frame 10
01:43.297  render           | Video append frame 11
01:43.313  render           | Video append frame 12
01:43.328  render           | Video append frame 13
01:43.360  render           | Video append frame 14
01:43.375  render           | Video append frame 15
01:43.391  render           | Video append frame 16
01:43.407  render           | Video append frame 17
01:43.438  render           | Video append frame 18
01:43.453  render           | Video append frame 19
01:43.469  render           | Video append frame 20
01:43.485  render           | Video append frame 21
01:43.500  render           | Video append frame 22
01:43.532  render           | Video append frame 23
01:43.547  render           | Video append frame 24
01:43.563  render           | Video append frame 25
01:43.578  render           | Video append frame 26
01:43.610  render           | Video append frame 27
01:43.625  render           | Video append frame 28
01:43.641  render           | Video append frame 29
01:43.657  render           | Video append frame 30
01:43.688  render           | Video append frame 31
01:43.703  render           | Video append frame 32
01:43.719  render           | Video append frame 33
01:43.750  render           | Video append frame 34
01:43.766  render           | Video append frame 35
01:43.782  render           | Video append frame 36
01:43.797  render           | Video append frame 37
01:43.828  render           | Video append frame 38
01:43.844  render           | Video append frame 39
01:43.860  render           | Video append frame 40
01:43.907  render           | Video append frame 1
01:43.938  render           | Video append frame 2
01:43.953  render           | Video append frame 3
01:43.969  render           | Video append frame 4
01:44.000  render           | Video append frame 5
01:44.016  render           | Video append frame 6
01:44.032  render           | Video append frame 7
01:44.047  render           | Video append frame 8
01:44.078  render           | Video append frame 9
01:44.094  render           | Video append frame 10
01:44.110  render           | Video append frame 11
01:44.141  render           | Video append frame 12
01:44.157  render           | Video append frame 13
01:44.172  render           | Video append frame 14
01:44.203  render           | Video append frame 15
01:44.219  render           | Video append frame 16
01:44.235  render           | Video append frame 17
01:44.250  render           | Video append frame 18
01:44.282  render           | Video append frame 19
01:44.297  render           | Video append frame 20
01:44.313  render           | Video append frame 21
01:44.328  render           | Video append frame 22
01:44.360  render           | Video append frame 23
01:44.375  render           | Video append frame 24
01:44.407  render           | Video append frame 25
01:44.469  render           | Video append frame 1
01:44.485  render           | Video append frame 2
01:44.516  render           | Video append frame 3
01:44.547  render           | Video append frame 4
01:44.578  render           | Video append frame 5
01:44.610  render           | Video append frame 6
01:44.657  render           | Video append frame 7
01:44.703  render           | Video append frame 8
01:44.735  render           | Video append frame 9
01:44.750  render           | Video append frame 10
01:44.782  render           | Video append frame 11
01:44.797  render           | Video append frame 12
01:44.828  render           | Video append frame 13
01:44.860  render           | Video append frame 14
01:44.875  render           | Video append frame 15
01:44.907  render           | Video append frame 16
01:44.938  render           | Video append frame 17
01:44.953  render           | Video append frame 18
01:44.985  render           | Video append frame 19
01:45.000  render           | Video append frame 20
01:45.032  render           | Video append frame 21
01:45.047  render           | Video append frame 22
01:45.063  render           | Video append frame 23
01:45.094  render           | Video append frame 24
01:45.110  render           | Video append frame 25
01:45.125  render           | Video append frame 26
