wall_seconds,phase,round,visible_alive,logical_alive,encounters,frame_ms,game_ms,render_ms,gpu_ms,gpu_available
14.891515,0,1,0,0,0,7.456101,2.599000,7.330800,7.868400,1
14.898365,0,1,0,0,0,6.781999,2.594700,6.792300,6.857800,1
14.905323,0,1,0,0,0,7.060100,2.515200,6.427300,6.702100,1
14.911703,0,1,0,0,0,6.376501,2.568800,6.390300,7.395300,1
14.918967,0,1,0,0,0,7.285301,2.532700,7.211600,6.646800,1
14.926306,0,1,0,0,0,7.338900,2.451500,7.311800,7.009200,1
14.932384,0,1,0,0,0,6.072998,2.350300,6.016500,6.512700,1
14.938699,0,1,0,0,0,6.149601,2.628900,6.105100,6.619100,1
14.945588,0,1,0,0,0,7.051300,2.567400,7.035500,6.656000,1
14.952790,0,1,0,0,0,7.187400,2.379800,7.122600,7.063600,1
14.960049,0,1,0,0,0,7.250000,2.269300,6.776500,6.994900,1
14.966950,0,1,0,0,0,6.922200,2.291500,6.869200,7.419900,1
14.974094,0,1,0,0,0,6.347701,2.233000,6.288000,6.754300,1
14.980501,0,1,0,0,0,7.151097,3.145600,7.159500,6.774800,1
14.988968,0,1,0,0,0,8.443400,2.827300,8.377000,6.934500,1
14.994334,0,1,0,0,0,5.451303,2.299900,5.432500,7.431200,1
15.001799,0,1,0,0,0,7.403299,2.345300,7.378400,6.676500,1
15.009227,0,1,0,0,0,7.487901,2.592500,7.424800,7.495700,1
15.016018,0,1,0,0,0,6.804697,2.400100,6.821800,6.985700,1
15.022289,0,1,0,0,0,6.251600,2.296300,6.126800,6.243300,1
15.029489,0,1,0,0,0,7.175002,2.529200,7.214200,6.977600,1
15.035501,0,1,0,0,0,5.904999,2.387800,5.845000,6.666200,1
15.042268,0,1,0,0,0,6.832302,2.556100,6.846800,6.766600,1
15.052073,0,1,0,0,0,9.838999,2.638400,9.777000,8.656900,1
15.059699,0,1,0,0,0,7.574502,2.667800,7.523500,6.868000,1
15.064297,0,1,0,0,0,4.722398,3.641200,4.735300,5.978100,1
15.070655,0,1,0,0,0,6.305002,2.595400,6.253800,6.709200,1
15.078755,0,1,0,0,0,7.470600,2.260800,7.433900,7.463900,1
15.086224,0,1,0,0,0,8.102700,3.040900,8.085100,7.001100,1
15.091949,0,1,0,0,0,5.732898,2.169200,5.698000,6.734900,1
15.100454,0,1,0,0,0,8.460500,2.349600,8.455400,7.570400,1
15.107239,0,1,0,0,0,6.626502,2.290600,6.445500,6.267900,1
15.113552,0,1,0,0,0,6.483801,3.659500,6.590900,7.302200,1
15.119912,0,1,0,0,0,6.378200,2.599300,6.330400,6.881200,1
15.127127,0,1,0,0,0,7.218998,2.658200,7.245200,6.919200,1
15.134267,0,1,0,0,0,7.099401,2.670700,7.045500,6.965300,1
15.140982,0,1,0,0,0,6.755699,2.632400,6.729900,6.982600,1
15.149597,0,1,0,0,0,8.602001,2.332800,8.559800,7.799800,1
15.155689,0,1,0,0,0,6.019302,2.316200,5.947300,7.046200,1
15.161744,0,1,0,0,0,6.119598,2.501000,6.170500,5.974000,1
15.171050,0,1,0,0,0,9.344801,2.371200,9.206100,6.720500,1
15.176047,0,1,0,0,0,5.013700,2.522600,5.068000,7.631900,1
15.182634,0,1,0,0,0,5.853798,2.521700,5.790900,5.949400,1
15.189002,0,1,0,0,0,7.056501,3.184200,7.013400,6.871000,1
15.196570,0,1,0,0,0,7.593800,2.151200,6.778800,6.748200,1
15.202968,0,1,0,0,0,6.398600,2.243200,6.385800,7.725100,1
15.210799,0,1,0,0,0,7.862203,2.414300,7.824900,7.001100,1
15.216777,0,1,0,0,0,5.960997,2.422700,5.941300,6.797300,1
15.224271,0,1,0,0,0,7.433702,2.271100,7.382000,7.071700,1
15.232506,0,1,0,0,0,8.268200,2.577000,8.203100,6.996000,1
15.237616,0,1,0,0,0,5.059902,2.479800,5.085400,6.804500,1
15.244709,0,1,0,0,0,7.121298,2.719700,7.060900,6.736900,1
15.251557,0,1,0,0,0,6.854601,2.626100,6.839700,6.712300,1
15.258553,0,1,0,0,0,7.007100,2.204800,6.954800,7.251900,1
15.265643,0,1,0,0,0,7.086400,2.579000,6.974200,6.910000,1
15.272498,0,1,0,0,0,6.859701,2.296900,6.835800,6.770700,1
15.279463,0,1,0,0,0,6.841999,2.478600,6.712400,6.795200,1
15.286470,0,1,0,0,0,6.476000,2.461800,6.525200,6.765600,1
15.294178,0,1,0,0,0,8.376100,2.921100,8.293900,6.785000,1
15.300856,0,1,0,0,0,6.553899,2.245000,6.545800,7.019600,1
15.306988,0,1,0,0,0,6.167702,2.559400,6.143300,6.968300,1
15.314087,0,1,0,0,0,7.176097,2.582200,6.985000,7.005200,1
15.320720,0,1,0,0,0,6.671000,2.823500,6.800200,6.981600,1
15.327731,0,1,0,0,0,6.893601,2.364700,6.816500,6.929400,1
15.333815,0,1,0,0,0,6.130401,2.379300,6.139700,6.660100,1
15.341853,0,1,0,0,0,8.032300,2.276100,7.545600,6.687700,1
15.347741,0,1,0,0,0,5.828101,2.310100,5.768400,6.729800,1
15.356571,0,1,0,0,0,8.936196,2.475800,8.947100,7.903200,1
15.363431,0,1,0,0,0,6.844200,2.371100,6.741300,7.223300,1
15.368664,0,1,0,0,0,5.210701,2.579600,5.147300,5.959700,1
15.376174,0,1,0,0,0,7.447701,2.385700,7.471900,6.722600,1
15.382664,0,1,0,0,0,6.595697,2.355500,6.566600,7.146500,1
15.390602,0,1,0,0,0,7.166203,2.263500,7.145600,7.016400,1
15.396691,0,1,0,0,0,6.816599,3.238600,6.771000,6.865900,1
15.403492,0,1,0,0,0,6.825398,2.247400,6.803000,5.959700,1
15.410527,0,1,0,0,0,7.043000,2.400500,6.713400,7.540700,1
15.417050,0,1,0,0,0,6.501500,2.446400,6.588800,6.940700,1
15.423737,0,1,0,0,0,6.532200,2.420400,6.480700,7.019500,1
15.430651,0,1,0,0,0,7.126801,2.741800,7.145300,6.702100,1
15.437238,0,1,0,0,0,6.530300,2.373100,6.426500,6.537200,1
15.443858,0,1,0,0,0,6.595001,2.384100,6.607200,6.603800,1
15.451947,0,1,0,0,0,8.160699,2.452000,8.114900,6.951900,1
15.458284,0,1,0,0,0,6.317001,2.170100,6.253200,7.464000,1
15.465339,0,1,0,0,0,7.025700,2.278700,7.041200,6.699000,1
15.471963,0,1,0,0,0,6.646101,2.644400,5.369800,5.865500,1
15.478354,0,1,0,0,0,6.403498,3.528700,7.560700,7.255000,1
15.485038,0,1,0,0,0,6.675903,2.651800,6.646200,6.860800,1
15.492134,0,1,0,0,0,6.106097,2.363600,6.106700,6.133800,1
15.498705,0,1,0,0,0,7.446900,3.444200,7.323500,6.707200,1
15.504235,0,1,0,0,0,5.643301,3.233400,5.708800,6.141900,1
15.511190,0,1,0,0,0,6.909899,2.523000,6.858900,7.087100,1
15.517900,0,1,0,0,0,6.723899,2.283500,6.231000,6.497300,1
15.525699,0,1,0,0,0,7.780801,2.260000,7.746000,7.809000,1
15.532939,0,1,0,0,0,7.151801,2.362900,6.786100,6.709300,1
15.540155,0,1,0,0,0,7.342000,3.240900,7.318400,7.833600,1
15.546048,0,1,0,0,0,5.771600,3.600800,5.674400,6.131700,1
15.552889,0,1,0,0,0,6.978601,2.684500,6.949800,6.986700,1
15.560647,0,1,0,0,0,7.781498,2.737900,7.112800,7.035900,1
15.567689,0,1,0,0,0,6.976999,2.131300,6.945900,7.502900,1
15.574221,0,1,0,0,0,6.609801,2.320900,6.600800,7.043100,1
15.581566,0,1,0,0,0,7.241000,2.427900,7.199600,6.688700,1
15.588139,0,1,0,0,0,6.641999,2.399800,6.653500,6.943800,1
15.598237,0,1,0,0,0,9.247601,2.406900,9.181200,7.949300,1
15.604315,0,1,0,0,0,6.925601,3.407200,6.901300,7.085000,1
15.610305,0,1,0,0,0,5.914800,2.313500,5.885100,6.857800,1
15.616880,0,1,0,0,0,6.623898,3.684300,6.581900,6.628300,1
15.624538,0,1,0,0,0,7.635202,2.428000,7.616800,7.591900,1
15.631515,0,1,0,0,0,6.922699,2.552200,6.792500,5.886000,1
15.637468,0,1,0,0,0,5.993299,2.973100,6.049300,6.955000,1
15.645032,0,1,0,0,0,7.624600,2.783000,7.488700,6.496300,1
15.650747,0,1,0,0,0,5.729500,2.765900,5.759800,7.267300,1
15.659685,0,1,0,0,0,8.872200,2.858000,8.863200,7.516200,1
15.666253,0,1,0,0,0,6.627999,2.384000,6.569500,7.198700,1
15.672813,0,1,0,0,0,6.533202,2.379100,6.503200,6.683600,1
15.679604,0,1,0,0,0,6.725200,2.614400,6.641800,6.706200,1
15.686253,0,1,0,0,0,6.671801,2.483800,6.670300,6.748200,1
15.694762,0,1,0,0,0,8.592199,2.448100,8.529800,7.362500,1
15.701670,0,1,0,0,0,6.231900,2.482200,6.094600,7.424000,1
15.707594,0,1,0,0,0,6.520499,3.077700,6.279300,5.850100,1
15.712777,0,1,0,0,0,5.200699,2.537500,5.135400,6.747200,1
15.721162,0,1,0,0,0,8.389700,2.304400,8.263100,6.910900,1
15.726671,0,1,0,0,0,5.515602,2.391300,5.532600,6.692900,1
15.733027,0,1,0,0,0,6.345500,2.552300,6.363000,6.151200,1
15.740395,0,1,0,0,0,7.343002,2.580700,7.218000,6.716400,1
15.746686,0,1,0,0,0,6.363299,2.838700,6.400400,6.775800,1
15.755955,0,1,0,0,0,9.277701,2.321100,9.252000,7.710700,1
15.763184,0,1,0,0,0,7.179998,2.438200,7.148800,7.641100,1
15.769293,0,1,0,0,0,6.113000,2.359600,6.059100,6.950900,1
15.776300,0,1,0,0,0,6.944001,2.689700,6.904100,6.766600,1
15.781726,0,1,0,0,0,5.478300,2.437000,5.390000,5.864500,1
15.788995,0,1,0,0,0,7.289399,2.955900,7.274900,7.234500,1
15.796164,0,1,0,0,0,7.127400,2.773800,7.083600,7.356400,1
15.802666,0,1,0,0,0,5.888801,2.439400,5.873000,6.182900,1
15.810331,0,1,0,0,0,8.369401,3.170500,8.324100,6.671400,1
15.816954,0,1,0,0,0,6.532799,2.591600,6.513300,7.380000,1
15.823879,0,1,0,0,0,6.979298,2.447600,6.914800,6.686700,1
15.830008,0,1,0,0,0,6.150100,2.641500,6.158000,6.306800,1
15.836624,0,1,0,0,0,6.592602,2.323200,6.563700,6.700000,1
15.843145,0,1,0,0,0,6.353498,2.536700,6.213500,6.769700,1
15.849102,0,1,0,0,0,6.078601,2.931400,6.189400,6.477800,1
15.856945,0,1,0,0,0,7.769402,2.820700,7.517900,6.914100,1
15.862824,0,1,0,0,0,5.984697,2.627400,6.090000,6.657000,1
15.869262,0,1,0,0,0,6.440800,2.483900,6.449300,6.715400,1
15.876787,0,1,0,0,0,7.477902,2.391000,7.468800,7.030800,1
15.883407,0,1,0,0,0,6.667700,2.629200,6.615100,6.726600,1
15.890037,0,1,0,0,0,6.687298,2.309000,6.659700,6.975500,1
15.897208,0,1,0,0,0,7.089101,2.135300,7.056300,6.773800,1
15.905232,0,1,0,0,0,6.730299,2.631400,6.468700,6.633500,1
15.912115,0,1,0,0,0,8.181103,4.018600,8.364600,8.208300,1
15.919339,0,1,0,0,0,7.303797,2.952700,7.249400,7.078900,1
15.925574,0,1,0,0,0,6.146602,2.291700,6.119600,6.711300,1
15.932989,0,1,0,0,0,7.477198,2.281300,7.451600,7.316500,1
15.938792,0,1,0,0,0,5.808201,2.474300,5.738300,5.926900,1
15.945586,0,1,0,0,0,6.812800,2.373700,6.820800,7.127100,1
15.953086,0,1,0,0,0,7.364400,2.344300,7.258700,6.890500,1
15.959679,0,1,0,0,0,6.729003,2.341500,6.719100,6.833100,1
15.965729,0,1,0,0,0,6.016698,2.194100,5.988000,6.687800,1
15.972898,0,1,0,0,0,7.131901,2.279900,7.144300,5.934000,1
15.979523,0,1,0,0,0,6.587800,2.280400,6.558500,7.205900,1
15.986896,0,1,0,0,0,7.126700,2.275800,6.409300,6.052900,1
15.993453,0,1,0,0,0,6.828800,2.773500,6.829100,7.400400,1
