seed,round,definition,star,effect,events
1,7,wc_u_halfling_warrior,2,2,6
1,7,wc_u_human_guardian,1,2,3
1,7,wc_u_human_warrior,1,0,3
1,7,wc_u_dwarf_guardian,1,3,6
1,7,wc_u_dwarf_guardian,2,3,6
1,7,wc_u_dwarf_ranger,1,0,6
1,7,wc_u_halfling_mage,2,0,7
1,7,wc_u_halfling_ranger,2,5,10
1,7,wc_u_halfling_warrior,2,2,5
1,7,wc_u_human_guardian,2,2,5
1,7,wc_u_human_warrior,1,0,4
1,7,wc_u_orc_guardian,2,2,2
1,8,wc_u_dwarf_guardian,1,3,6
1,8,wc_u_dwarf_warrior,1,0,5
1,8,wc_u_halfling_ranger,2,5,4
1,8,wc_u_halfling_warrior,2,2,4
1,8,wc_u_human_guardian,1,2,2
1,8,wc_u_human_guardian,2,2,4
1,8,wc_u_orc_guardian,1,2,2
1,8,wc_u_orc_mage,1,0,7
1,8,wc_u_orc_warrior,1,5,3
1,8,wc_u_orc_warrior,2,5,6
1,8,wc_u_dwarf_guardian,2,3,7
1,8,wc_u_dwarf_warrior,1,0,4
1,8,wc_u_elf_ranger,2,4,2
1,8,wc_u_elf_rogue,1,4,1
1,8,wc_u_halfling_rogue,1,3,1
1,8,wc_u_halfling_warrior,2,2,3
1,8,wc_u_human_guardian,1,2,3
1,8,wc_u_human_priest,2,1,3
1,8,wc_u_human_warrior,1,0,2
1,8,wc_u_orc_rogue,1,4,1
1,8,wc_u_orc_warrior,1,5,2
1,8,wc_u_dwarf_guardian,2,3,12
1,8,wc_u_dwarf_ranger,1,0,5
1,8,wc_u_dwarf_warrior,2,0,6
1,8,wc_u_halfling_ranger,2,5,5
1,8,wc_u_halfling_warrior,2,2,11
1,8,wc_u_human_guardian,2,2,5
1,8,wc_u_human_warrior,1,0,1
1,8,wc_u_orc_guardian,2,2,9
1,8,wc_u_dwarf_guardian,1,3,10
1,8,wc_u_dwarf_ranger,1,0,6
1,8,wc_u_dwarf_warrior,1,0,3
1,8,wc_u_halfling_mage,2,0,5
1,8,wc_u_halfling_ranger,2,5,8
1,8,wc_u_halfling_warrior,2,2,3
1,8,wc_u_human_guardian,2,2,1
1,8,wc_u_human_warrior,1,0,2
1,8,wc_u_orc_guardian,2,2,3
1,8,wc_u_orc_warrior,2,5,1
1,9,wc_u_dwarf_guardian,1,3,7
1,9,wc_u_dwarf_ranger,1,0,5
1,9,wc_u_halfling_mage,2,0,6
1,9,wc_u_halfling_ranger,2,5,10
1,9,wc_u_halfling_warrior,2,2,5
1,9,wc_u_human_guardian,2,2,4
1,9,wc_u_human_warrior,1,0,3
1,9,wc_u_orc_guardian,1,2,2
1,9,wc_u_orc_warrior,2,5,5
1,9,wc_u_dwarf_guardian,2,3,3
1,9,wc_u_dwarf_ranger,1,0,3
1,9,wc_u_dwarf_warrior,2,0,4
1,9,wc_u_elf_rogue,1,4,1
1,9,wc_u_halfling_rogue,2,3,3
1,9,wc_u_halfling_warrior,2,2,6
1,9,wc_u_human_warrior,1,0,4
1,9,wc_u_orc_rogue,1,4,1
1,9,wc_u_orc_warrior,1,5,1
1,9,wc_u_dwarf_guardian,1,3,7
1,9,wc_u_dwarf_guardian,2,3,8
1,9,wc_u_dwarf_warrior,1,0,6
1,9,wc_u_elf_ranger,2,4,1
1,9,wc_u_halfling_ranger,2,5,5
1,9,wc_u_halfling_warrior,2,2,6
1,9,wc_u_human_guardian,1,2,5
1,9,wc_u_human_priest,2,1,4
1,9,wc_u_orc_guardian,2,2,3
1,9,wc_u_orc_warrior,2,5,1
1,9,wc_u_dwarf_guardian,1,3,4
1,9,wc_u_dwarf_guardian,2,3,4
1,9,wc_u_dwarf_warrior,1,0,2
1,9,wc_u_halfling_mage,2,0,6
1,9,wc_u_halfling_ranger,2,5,4
